game_id	game_name	game_engines	game_genres	game_platforms
65356	Pebble Universe	undefined	8;9;15;	undefined
67224	Fame	undefined	7;	undefined
69902	Smash Out	undefined	undefined	undefined
26523	Surf World Series	6;48;49;	14;33;	6;48;49;
9510	The Witch's Yarn	6;	31;32;	6;
114672	Idyllic	undefined	undefined	undefined
142694	The Game is ON	130;	9;	130;
76902	Super Robot Wars Neo	5;	undefined	5;
63848	Taiko no Tatsujin: Chougoukaban	undefined	undefined	undefined
94930	Cyberchess	13;	35;	13;
32390	Chaos: The Battle of Wizards	26;	15;16;24;	26;
166352	Tec	6;	31;	6;
96541	NVA: Mission: vorwärts immer!	undefined	undefined	undefined
64944	NextRev: Eibunpou Tettei Tokkun	46;	undefined	46;
80261	Mashou Hime Tiruana Haramase Saimin: Ningen o Shiitageru Mazoku no Hime ga Anji Hitotsu de Niku Gangu ni Naru	undefined	31;	undefined
156196	VR Galactic Roller Coaster	undefined	undefined	undefined
29434	Tales of Terror: Crimson Dawn	6;	31;	6;
57817	GT Kai: All Japan Grand Touring Car Championship	undefined	undefined	undefined
48230	Swords and Serpents	18;	12;31;	18;
2788	Rugrats: Studio Tour	7;	31;	7;
31592	The Enlightened League of Bone Builders and the Osseous Enigma Content	6;	13;15;31;32;	6;
134941	PHN-HOME	3;6;14;	undefined	3;6;14;
29441	airRevo VR	6;	32;	6;
46136	OutRun 3-D	64;	10;33;	64;
12966	Souls of Darkon	15;25;26;	31;	15;25;26;
58918	Pastry Paradise	undefined	9;	undefined
163357	Ta ga Tame ni Oni wa Naku	undefined	undefined	undefined
77593	Reel Deal Casino: High Roller	undefined	undefined	undefined
134966	The Hero of Budgie Island	undefined	undefined	undefined
81548	Wacky Races	7;8;23;	10;	7;8;23;
134943	Wave to the People	6;82;	undefined	6;82;
66144	Balance of Kingdoms	3;6;14;	11;13;15;32;	3;6;14;
74578	Magical Squash	6;	13;14;32;	6;
142117	Space Raft	18;	8;33;	18;
39534	Top Gunner	undefined	undefined	undefined
5324	Warriors Orochi 3	9;12;38;41;	25;	9;12;38;41;
117914	P.U.G.S. Agents	undefined	31;	undefined
166452	Botworld Adventure	undefined	4;31;32;	undefined
102361	Five Rooms	undefined	15;31;32;	undefined
69225	Soldier Boyz	undefined	5;	undefined
7534	Luxor	6;37;	2;5;9;31;	6;37;
137427	Earth Defense Force 6	48;167;	5;	48;167;
95594	KeyBoard Guitar Master	undefined	32;	undefined
98733	Destructions	6;	31;32;	6;
35730	Call of the Ninja!	6;14;	32;	6;14;
166419	-1: Minus Ichi	6;	31;	6;
169229	Private Model	6;	13;32;	6;
101282	NavalArt	undefined	13;32;	undefined
109764	Reignfall	6;	15;32;	6;
128081	Boiling Steel: Preface	6;	5;31;	6;
6146	Stranglehold	6;9;12;	5;	6;9;12;
20946	Pinball FX2: Iron & Steel Pack	undefined	undefined	undefined
60936	ILYA Muromets	undefined	undefined	undefined
4875	Furu Furu Park	5;	33;	5;
127120	Crackinho Beat' em up in the World	undefined	4;31;33;	undefined
133156	Murky Waters	undefined	31;32;	undefined
128336	Spaß Taxi	6;	32;	6;
163358	Tokoyo ni Ochiru Hana	undefined	undefined	undefined
24772	The World Legends: Kashchey the Immortal	undefined	undefined	undefined
122227	Adventure Pinball	39;	31;32;33;	39;
106968	Beyond the Legend: Mysteries of Olympus	6;	2;	6;
153864	Themes of Dark and Light	undefined	32;	undefined
154404	Advent Crossroad	6;	32;	6;
25727	Roc 'N Rope	52;59;68;	8;	52;59;68;
163359	Tsuyaga~ru	undefined	undefined	undefined
138908	World Soccer Jikkyou Winning Eleven 3 - Final Ver.	7;	14;	7;
88319	Bomb Craft Tnt	undefined	undefined	undefined
20863	Dishonored: Definitive Edition	6;48;49;	5;31;	6;48;49;
31919	Bacon Tales - Between Pigs and Wolves	6;	15;32;	6;
60317	Retro Arcade Toppers	20;	undefined	20;
58396	Strike Fighters Legends	undefined	13;	undefined
132714	Hotel Dash: Suite Success	6;	13;	6;
49502	World Reborn	24;	5;	24;
99384	Brain Trainer - Spot The Difference	undefined	undefined	undefined
105219	GolemRush	undefined	32;	undefined
54814	Apocryph	6;130;	5;31;32;	6;130;
127733	Gericonia 2	6;	13;15;32;	6;
166444	Azumanga Donjara Daiou	7;	undefined	7;
130243	Retrowave	6;	10;13;32;	6;
127732	Naval Armada	undefined	13;	undefined
104664	A3!	undefined	undefined	undefined
112551	Akagawa Jirou: Yasoukyoku 2	7;	undefined	7;
94224	Bolo Ball	undefined	undefined	undefined
166420	Kyomu	6;	31;	6;
29947	DOOORS VR	6;	13;31;32;	6;
111762	Classic Card Games 3D	6;	13;15;32;	6;
145500	Paradiso Guardian	6;14;	8;12;31;32;34;	6;14;
104605	Gorgeous Princess Dressup	undefined	undefined	undefined
108212	Dino VR : Jurassic World	undefined	undefined	undefined
8670	The Three Stooges	7;13;15;16;18;24;115;	31;33;	7;13;15;16;18;24;115;
17387	Evil Pumpkin: The Lost Halloween	3;6;14;	9;31;	3;6;14;
140434	Nightmist Online	6;	12;	6;
96594	Stunt 2 Race: A Moto Bike Fast Racing	undefined	undefined	undefined
104686	Word Quiz - Funny	undefined	undefined	undefined
154224	Star Control: Origins - Galactic Edition	undefined	12;31;	undefined
58995	Skate Out!	undefined	undefined	undefined
102951	Office Race	undefined	10;32;	undefined
100988	Age of 2048	34;39;	9;	34;39;
166437	Muyuu	6;	31;	6;
136934	Overdrive City	6;34;39;	undefined	6;34;39;
103157	Wheelchair Simulator	undefined	13;14;	undefined
76596	Ura no Ura	undefined	9;	undefined
132120	Iced In	undefined	undefined	undefined
80631	Space Battles	undefined	undefined	undefined
166439	Kind Heart	6;	31;	6;
101541	Word Town: New Crossword Games	undefined	undefined	undefined
135934	Slender Space	undefined	undefined	undefined
99978	ATV Pure	undefined	10;	undefined
166436	Madoro-Mu	6;	31;	6;
105834	Kingdom Defense: Hero Legend	undefined	undefined	undefined
112164	Computer the Golf	undefined	undefined	undefined
77584	Prank Call 2	undefined	undefined	undefined
81714	Mind the Vikings	undefined	13;	undefined
92579	1000 Heroz	undefined	undefined	undefined
155992	The Deepening: Eco-Offensive	undefined	31;	undefined
59202	Gekitou Senshi Nagerunder	undefined	8;	undefined
108575	Lets Jump	undefined	undefined	undefined
105910	Pluck It: hairs and emotions	undefined	undefined	undefined
116435	Light my Fear	undefined	undefined	undefined
95998	SCP: Unknown.	undefined	undefined	undefined
115011	VRLab Academy: Anatomy VR	undefined	13;	undefined
4392	Menghuan Shuiguo Pan: 777 Casino	29;	undefined	29;
75398	Depopulation	6;	12;13;15;	6;
90069	Fantasy World: A Land Torn Asunder	6;14;	12;32;	6;14;
61451	Sunday x Magazine: Nettou! Dream Nine	undefined	undefined	undefined
114868	Contact : Last Defence	6;	32;	6;
122569	Live Wire!	7;	9;	7;
90933	Austin Mini Racing	undefined	undefined	undefined
