game_id	game_name	game_engines	game_genres	game_platforms
145789	All of You	14;39;	undefined	14;39;
2272	No More Heroes	5;6;130;	25;31;	5;6;130;
5604	Hive	6;13;	5;15;26;32;	6;13;
5192	SPRay	5;	31;	5;
56111	Final Flames: Dark Rage	undefined	25;	undefined
103412	Ancient Frontier: Steel Shadows	3;6;	15;	3;6;
5820	Dynasty Warriors 5	6;8;11;	24;25;31;	6;8;11;
144636	For Honor / Tom Clancy's Ghost Recon: Wildlands	undefined	undefined	undefined
31137	WAR7	6;	32;	6;
161417	Men Bang	undefined	undefined	undefined
105221	Space Hamster in Turmoil	undefined	undefined	undefined
8437	Block N Load	6;	5;15;	6;
143963	Mazed and Bemused	undefined	15;	undefined
44491	DJMax Portable 3	38;	7;	38;
25177	Red Johnson's Chronicles: One Against All	9;12;	9;31;	9;12;
72029	ECW Anarchy Rulz	7;23;	14;	7;23;
74420	Puzzle Arcade	12;	9;	12;
167807	Hentai Mosaique Neko Waifus	6;	9;	6;
42724	DJMax Portable 2	38;	7;	38;
8050	Tiny Toon Adventures: Buster Busts Loose!	19;	8;14;	19;
56692	Almost Hero	6;18;34;39;	4;25;33;	6;18;34;39;
171295	The Repairing Mantis	6;	31;32;	6;
7173	Samurai Warriors 2	8;12;	25;	8;12;
137220	The Silence Under Your Bed	3;6;14;	32;34;	3;6;14;
110216	Monster Builder	undefined	undefined	undefined
161415	Carotic: Academic Version	undefined	10;32;	undefined
60639	Retroboy	12;	5;	12;
126834	Grand Academy II: Attack of the Sequel	3;6;14;	12;31;32;	3;6;14;
75184	Superflight	6;	10;13;14;32;	6;
121413	End of Realms	undefined	12;32;	undefined
7513	Ultimate Quest: Journey to the Far Side of Possible	82;	9;13;30;31;	82;
32731	Evo Explores	3;6;14;	9;32;	3;6;14;
129698	LilyDeux - Black Lily Warning	6;	13;	6;
9887	Lunar Knights	20;	12;	20;
122190	Rise of the Tomb Raider Deluxe Edition	undefined	undefined	undefined
19604	Fictorum	6;	12;31;32;	6;
137397	Shin Sedai Robot Senki - Brave Saga 2	7;	undefined	7;
50744	Family Mini Golf	5;	14;	5;
19548	Dual Universe	6;	12;13;	6;
88325	The Last Sigil	6;	12;31;32;	6;
9790	The Cameron Files: The Secret at Loch Ness	6;	2;31;	6;
138220	RobinBobin	34;39;	33;	34;39;
109479	Real Horror Stories	6;	2;32;	6;
114451	Idle Space Raider	6;	15;	6;
161423	Pizza Bike Rider	undefined	10;13;14;15;31;32;	undefined
8539	Extreme Paintbrawl	6;	5;14;	6;
161419	The Legend of Arcadieu 2	undefined	13;32;	undefined
161425	Roopit and Boopit	undefined	15;	undefined
121939	Restless Hero	6;49;130;	8;31;32;33;	6;49;130;
139698	inFAMOUS 2: Hero Edition	9;	25;31;	9;
109641	MazeQuest 2	undefined	12;15;31;32;	undefined
18716	Buzz! The Big Quiz	8;	26;	8;
122259	7776 II: Dwarven Greed	undefined	15;32;	undefined
119022	Galaxicus	3;6;14;	15;32;	3;6;14;
15057	MacGuffin's Curse	6;14;	9;31;32;	6;14;
12575	Drivin' Force	16;	10;	16;
118337	Grim Tales: The Vengeance - Collector's Edition	undefined	31;	undefined
122119	Tiny Time Travellers	34;39;	8;31;	34;39;
131237	Grab the Win	undefined	undefined	undefined
161422	Do 11	undefined	13;31;32;	undefined
20386	Mario's Tennis	87;	14;	87;
61559	Happy Fishing	6;	14;	6;
132213	Axizon Labs: Zombies	undefined	32;	undefined
18142	Marsupilami	29;	8;9;	29;
167808	Mosaique Neko Waifus 2	6;	9;	6;
161420	100 hidden eternals	undefined	31;32;	undefined
122416	Spin Rhythm XD	6;	7;32;	6;
19590	Filthy Lucre	6;48;	5;31;32;	6;48;
96321	Restaurant Manager	6;	13;15;32;	6;
8077	Speedy Gonzales	33;	8;	33;
103463	Shadowlings	6;	25;32;	6;
163985	Empire Chronicles	undefined	31;32;	undefined
17817	Rising Angels: Reborn	3;6;14;	13;31;32;34;	3;6;14;
139569	Arkane 20th Anniversary Collection	48;49;	undefined	48;49;
1705	WarioWare: Touched!	20;41;	2;9;31;33;	20;41;
35399	DREAMFLIGHT VR	6;	13;31;	6;
