game_id	game_name	game_engines	game_genres	game_platforms
34403	STEEL STRIDER	3;6;	5;32;	3;6;
138692	Rise and Fall	6;	8;14;32;33;	6;
27575	Onward	6;162;163;	5;13;15;24;32;	6;162;163;
119902	Cymatically Muffed	6;	4;5;31;32;	6;
13385	Forsaken Uprising	6;	12;31;32;	6;
164755	Assassin Run 2D	49;	undefined	49;
1983	Bastion	3;6;9;12;14;39;46;48;49;130;	12;31;32;	3;6;9;12;14;39;46;48;49;130;
32246	Push The Crate	6;130;	32;	6;130;
15540	Ninja Gaiden II: The Dark Sword of Chaos	5;18;37;41;	8;31;	5;18;37;41;
48887	Takeshi no Sengoku Fuuunko	99;	15;26;	99;
37729	TAKEDA SHINGEN	86;	15;25;	86;
59757	Galactic Hitman	6;	5;	6;
22768	K-Razy Antiks	65;71;	33;	65;71;
34953	Star Chronicles: Delta Quadrant	6;	15;32;	6;
149793	Catch a Cat for 60 Seconds	undefined	32;	undefined
177888	Basements & Bugbears	undefined	34;	undefined
66862	Drift Street International	159;	10;	159;
143307	Eden's Aegis	6;	5;	6;
58845	Venus	undefined	undefined	undefined
69901	Het Labyrint van Toetanchamon	undefined	undefined	undefined
165393	Abyssus	6;	5;31;32;	6;
37700	Chou-Denki Card Battle: Youfu Makai - Kikuchi Shuugyou	57;	15;	57;
177883	Cemetery Mary	undefined	34;	undefined
41694	Hi No Tori	27;	31;	27;
182298	Cowardly Heroes	34;	32;33;	34;
37157	Space M+A+X	13;16;	13;15;24;	13;16;
62856	Industrial Domination 1810	undefined	11;15;	undefined
39118	Bride of Frankenstein	15;25;26;	31;	15;25;26;
40694	Shuttle Orbiter	59;	13;	59;
19725	Paranormal Psychosis	6;	31;32;	6;
11782	Shantae: Risky's Revenge	6;20;34;37;39;41;48;159;	8;31;	6;20;34;37;39;41;48;159;
38403	WeaponLord	19;29;	4;14;	19;29;
30070	Holiday Simulator : Wacky Sleigh Ride	6;	13;	6;
141361	MORLEQUARIAT: The Final Chronicle of the House of Plifk	undefined	12;16;	undefined
37332	Mobile Suit Gundam: EX Revue	52;	4;	52;
7479	Warhawk	9;	5;	9;
137128	Taiko no Tatsujin: Rhythmic Adventure Pack	130;	7;12;	130;
20021	Operation Abyss: New Tokyo Legacy	6;46;	12;31;	6;46;
39617	The Battle Road	52;	5;	52;
37246	Last Ninja 3	5;	31;	5;
23363	Demon's Souls: Black Phantom Edition	9;	12;	9;
69843	Airport Tycoon 3	6;	13;15;	6;
165397	Project Relic	6;	12;32;	6;
12263	Sono Hanabira ni Kuchizuke o: Michael no Otome-tachi	3;6;14;34;39;	31;34;	3;6;14;34;39;
129373	Classic Card Game Canasta	6;	15;	6;
114996	Magic Heart	undefined	32;	undefined
32077	Endangered	6;	15;31;	6;
42851	Patchwork Heroes	38;	undefined	38;
39330	Vanguard 2	52;	5;33;	52;
66975	Telegraph Crosswords	159;	9;	159;
48950	Dead Heat Scramble	33;	10;	33;
116030	Goddess of the City	undefined	32;	undefined
41448	USCF Chess	67;	13;15;	67;
123728	Quest for Conquest	6;	31;32;	6;
46416	Marky Mark and the Funky Bunch: Make My Video	78;	7;	78;
68902	Arthur's Quest: Battle for the Kingdom	undefined	undefined	undefined
63787	Cross Country USA	13;	13;	13;
61858	Intellivision Shark! Shark! Gen2	undefined	undefined	undefined
71902	Akujo Densetsu	undefined	31;	undefined
147854	JDM Racing	130;	10;13;14;33;	130;
40109	Crusher Makochan	52;	undefined	52;
58902	Don't Crash	41;	10;	41;
25130	CIA	126;	31;	126;
44987	The Flintstones: Bedrock Bowling	7;	10;14;30;	7;
139208	Bright Bird	6;	9;31;	6;
46268	NFL Football '94 Starring Joe Montana	29;	13;14;	29;
71855	Space Dude	13;	15;	13;
56950	Neon Phase	3;6;14;	8;	3;6;14;
100511	Carrier Battles 4 Guadalcanal: Pacific War Naval Warfare	6;14;	13;15;	6;14;
161699	Village Fest: Digging	undefined	32;	undefined
51157	Scrabble Interactive: 2009 Edition	5;	9;26;	5;
44743	Hugo: The Quest for the Sunstones	6;7;	8;	6;7;
67852	Yggdra Unison: Seiken Buyuuden	20;55;	11;	20;55;
129936	Deathtrap Dungeon: The Interactive Video Adventure	6;	12;31;	6;
127499	SUPER 3-D CRUNK BROS.	6;	10;31;32;	6;
152525	Erotic Jigsaw Puzzle 4	6;	9;32;	6;
47246	Fairytale	51;	15;	51;
21838	Guardian Heroes	12;32;	12;25;	12;32;
67027	BS Super Mario USA: Power Challenge	306;	8;	306;
73842	Front Office Football 2001	undefined	14;15;	undefined
149367	Paranormal Enteties	6;	15;32;	6;
60835	Quiz Tonosama no Yabou	78;	26;	78;
68976	X-Ray Ball	undefined	undefined	undefined
69852	Clueless: The CD-ROM	undefined	undefined	undefined
59838	Gunbrick	34;39;82;	8;9;	34;39;82;
62845	Go Series: Pinball Attack!	159;	30;	159;
161698	Void Hearts	undefined	31;	undefined
121838	Rage Melee	6;	32;	6;
72862	Suzumiya Haruhi no Yakusoku	38;	13;31;34;	38;
62454	Rally Poland	undefined	10;	undefined
85797	Space Commanders II	undefined	undefined	undefined
60786	B.A.S.E. Jumping Game	undefined	undefined	undefined
78859	Time Out Sports: Basketball	undefined	undefined	undefined
64853	Day of the Zombie	6;	5;	6;
