game_id	game_name	game_engines	game_genres	game_platforms
129844	Restaurant Flipper	undefined	13;32;	undefined
110179	Wonderland Trails	undefined	32;	undefined
157017	Larger Than Light	undefined	32;	undefined
117298	Karl Quappe	13;	33;	13;
136117	Fort Boyard: Nouvelle Edition	undefined	undefined	undefined
36418	Organic Panic	6;48;49;	8;9;32;	6;48;49;
181884	Disrupter	7;	5;	7;
106024	Super Slider!	undefined	undefined	undefined
14053	The Empire Fights Back	undefined	5;	undefined
106035	ChessBase 13 Pro	undefined	undefined	undefined
120620	Trudy's Mechanicals	undefined	undefined	undefined
83249	Paddington Run	undefined	8;	undefined
37558	Ultraman: Hikari no Kuni no Shisha	123;	4;	123;
78430	Combo Pack: Sonic Advance + Sonic Pinball Party	24;	undefined	24;
22129	Fallen Heroes: Uro's Tale	34;72;	undefined	34;72;
71355	Unison: Rebels of Rhythm & Dance	undefined	7;13;	undefined
66983	Yeti Sports Pengu Throw	undefined	undefined	undefined
77552	Nikita: The Mystery of the Hidden Treasure	6;	8;	6;
78093	Flight Deck 5	undefined	13;	undefined
79467	Arslan Senki	78;	15;	78;
82082	Mercenaries Saga	34;39;55;	12;16;24;	34;39;55;
20614	Left Behind: Eternal Forces	undefined	11;15;	undefined
19193	MechCommander	6;	11;15;24;	6;
139354	The Dungeon Beneath	6;14;	15;16;32;	6;14;
14991	In 80 Days Around the World	15;16;63;	8;9;	15;16;63;
47538	A-1 Spirit	27;	10;	27;
66648	Spartacus: Blood and Sand	undefined	4;	undefined
85359	Puzzle Series 2: Illust Logic + Colourful Logic	5;	undefined	5;
49538	DiaDroids World: Evil Teikoku no Yabou	24;	31;	24;
90071	Baldies	6;7;13;14;32;62;	11;13;	6;7;13;14;32;62;
89071	All-in-One Mahjong 3	undefined	undefined	undefined
96997	The Cube - What's Inside ?	undefined	undefined	undefined
121306	Hell of Men : Blood Brothers	6;	13;15;32;	6;
117862	Raid of Regions	6;	15;32;	6;
74018	The Beverly Hillbillies	undefined	31;	undefined
150139	Head 2 Head	6;	4;31;32;	6;
26132	Rippin' Riders Snowboarding	23;	14;	23;
104219	Trivia Vault: Music Trivia	6;	13;	6;
27700	Bob	29;	5;8;9;	29;
82697	Fairy Orb: Magical Girl Aya & Yui	undefined	undefined	undefined
131034	Desert Nightmare	6;	9;12;31;	6;
154253	Chuhou Joutai 2: Paraided!	6;	32;	6;
113950	Beams	39;	9;32;	39;
48700	Chris Evert & Ivan Lendl in Top Players' Tennis	18;	14;	18;
38480	Armored Core: Last Raven Portable	38;	5;	38;
23343	Fortress of Narzod	70;	5;31;33;	70;
94343	Monkey Kong	undefined	undefined	undefined
32873	The Last Leviathan	3;6;14;	13;15;31;32;	3;6;14;
10278	Eryi's Action	3;6;	8;32;	3;6;
7508	Caesar IV	6;	13;15;	6;
117861	Grit: Overworld Survival	6;	13;31;32;	6;
146764	The Imperial Gatekeeper	6;	2;9;	6;
90192	Alien Invasion 3d	undefined	32;	undefined
87403	Sky Invaders	34;39;	33;	34;39;
34459	Star Command Galaxies	6;14;	13;15;32;	6;14;
69473	Les Terres d'Amarande	undefined	undefined	undefined
83775	The Escapists 2 Special Edition	49;	undefined	49;
51266	Touhou Mutsuigeki: Concealed the Conclusion	6;	5;	6;
139351	Reader Rabbit 1st Grade: Capers on Cloud Nine	5;6;14;	undefined	5;6;14;
116213	Gladiators: Ludus Manager	undefined	12;13;	undefined
64120	Super Pong	52;	14;	52;
950	Jane's Combat Simulations: WWII Fighters	6;	13;	6;
76201	SWAT Force	55;	24;	55;
36756	Mystereet F: The Detectives' Curtain Call	undefined	34;	undefined
79489	Taito Variety Pack	undefined	undefined	undefined
75228	Warlock Quest II	82;	5;	82;
129097	Norco	6;	2;31;32;	6;
96116	NEKO-NIN exHeart 2	6;	32;34;	6;
139350	Reader Rabbit Kindergarten: Bounce Down in Balloon Town	5;6;14;20;	undefined	5;6;14;20;
139349	Reader Rabbit Preschool: Sparkle Star Rescue	5;6;14;	undefined	5;6;14;
88530	Canasta: Pro	39;	undefined	39;
24602	Battle Ranch	3;6;14;	15;32;	3;6;14;
30578	Lunar Stone: Origin of Blood	6;	5;31;	6;
143300	Alien Life Simulator	6;	5;13;31;32;	6;
14340	Bram Stoker's Dracula	18;33;35;64;	8;	18;33;35;64;
47433	JoJo's Bizarre Adventure HD	12;	undefined	12;
146173	Maelstrom	14;	33;	14;
171658	First	undefined	31;	undefined
31276	TEOT - The End OF Tomorrow	6;	12;13;15;31;	6;
120471	BRING IT DOWN!	undefined	13;	undefined
36868	Bubsy: The Woolies Strike Back	6;48;	8;31;	6;48;
66001	Dream Chronicles: The Book of Water	6;	9;31;	6;
178534	So obscure	undefined	34;	undefined
62140	Sakura Taisen 1 & 2	38;	12;24;	38;
81516	Jurassic Park Pinball	52;	undefined	52;
178529	The Journey Home	undefined	8;	undefined
157020	Heart in the Cell: Rebirth	undefined	15;	undefined
157016	Super Power: Rising of A.I.	undefined	undefined	undefined
10731	Puzzle Bots	3;6;	2;9;31;32;	3;6;
73377	Alphabet Express Preschool	undefined	undefined	undefined
16471	Cyber Knight	58;86;	12;15;	58;86;
117863	Platonic Paranoia	undefined	31;32;	undefined
129422	UFO ESCAPE	6;	32;	6;
70600	Parallel Kingdom	undefined	12;	undefined
171653	Nave: SOS Mars	undefined	undefined	undefined
89257	Tennis Kings VR	undefined	13;14;32;	undefined
24210	Police Tactics: Imperio	6;14;	13;15;	6;14;
116193	Neon Caves	130;	undefined	130;
83171	ᗢ	6;14;	undefined	6;14;
52751	Red Comrades Save the Galaxy	6;	31;	6;
94604	Bakumatsu Roman Tokubetsu Hen: Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana	undefined	undefined	undefined
21815	Go! Sports Skydiving	undefined	14;	undefined
96604	Peanuts: Snoopy's Town Tale	undefined	undefined	undefined
69023	A Week of Garfield	undefined	8;	undefined
85221	Elite Dangerous: Commander Deluxe Edition	6;48;	13;	6;48;
32875	Astroflux	6;14;	12;31;	6;14;
104251	Equaland	39;	9;	39;
181939	Motomancer: Auto Battle	6;	10;13;25;	6;
39061	Samantha Fox Strip Poker	25;26;	16;	25;26;
70071	Supreme Challenge	undefined	9;13;15;	undefined
102209	Top Street Soccer	undefined	undefined	undefined
126064	Karnage.io	undefined	undefined	undefined
80481	Inside	undefined	12;31;32;	undefined
157010	Loofy	undefined	32;	undefined
136470	Beast and Princess ~In Blossom~	46;	34;	46;
134298	jubeat festo	52;	7;	52;
154733	Lettriq: Evaluez Votre QI Lettrique	20;	undefined	20;
157011	Oracle Trials	undefined	undefined	undefined
1608	Empire Earth II	6;	11;13;15;	6;
75514	Rally Chase	136;	undefined	136;
148275	SnOut	undefined	32;	undefined
86363	Tennis	33;37;	14;	33;37;
128427	Maquisard	6;14;	9;	6;14;
157014	Tale of an Apocalypse	undefined	32;	undefined
65616	KAIO - King of Pirates	undefined	undefined	undefined
82134	Simple DS Series Vol. 1: The Mahjong	undefined	undefined	undefined
97446	iFishing 2: Saltwater Edition	undefined	undefined	undefined
71875	Ganbare Goemon: Tengu-to no Gyuakushu!	undefined	undefined	undefined
154729	Take a Hike!	3;6;14;	32;34;	3;6;14;
129617	Attack of the alien thingies from lava!	6;	32;	6;
157015	Bloodlust Online	undefined	32;	undefined
15838	Rudra no Hihou	58;	12;	58;
128361	Ochige Designer Tsukutte Pon!	32;	undefined	32;
85412	Sweetest Thing	6;41;	9;15;32;33;	6;41;
167007	One More Dungeon: Limited Edition	undefined	undefined	undefined
14562	Pacific Strike	undefined	13;	undefined
38568	Las Vegas Girls	52;	9;	52;
159023	The Hero We Need	6;48;130;169;	11;15;31;	6;48;130;169;
126330	Bunny Sudoku	6;	15;32;	6;
123528	Cowboy Life Simulator	6;	12;13;31;32;	6;
95441	Steam	6;	9;	6;
68726	Berry Tree	undefined	undefined	undefined
80725	Super Dai Senryaku 98	undefined	15;	undefined
113054	NPCs	undefined	32;	undefined
117837	Hockey Player VR	undefined	14;	undefined
80746	Hajime no Ippo: The Fighting!	24;	14;	24;
130290	El Remedio de Aldorf	6;	12;31;32;	6;
84004	Thirsty Bubble	undefined	31;32;	undefined
44333	Fighting Run	86;	10;25;	86;
129755	Dead Cubes	6;	32;	6;
136619	Battletoads	33;	25;	33;
78742	J.R.R. Tolkien's Riders of Rohan	13;	15;	13;
52667	Black The Fall: Collector's Edition	6;48;49;130;	9;	6;48;49;130;
125064	Jinga Online	6;	13;32;	6;
23483	SwapQuest	39;46;48;49;	9;12;32;	39;46;48;49;
57419	The Rail	undefined	31;	undefined
166996	Battle Garegga Rev.2016: Premium Edition	undefined	5;	undefined
23646	Star Crusade	6;34;39;	16;	6;34;39;
44370	Driving Demon	129;	10;	129;
72720	Root After and Another	undefined	31;	undefined
78715	Animal Breeder	undefined	15;	undefined
18585	Hockey	52;	33;	52;
106694	Plague hunter	undefined	31;32;	undefined
157022	ARK-ADE	undefined	32;	undefined
152953	Lost End	6;	8;12;32;	6;
87030	Stack & Crack	39;	9;32;	39;
31869	Gebub's Adventure	6;14;	31;	6;14;
96861	VR Benchmark Kanojo	undefined	13;	undefined
99598	Omnicube	undefined	32;	undefined
57431	Back From Hell	undefined	31;	undefined
169024	Bot Wars	6;	15;	6;
25590	Earthquake San Francisco 1906	65;75;126;	31;	65;75;126;
167000	Kingdom Hearts III Integrum Masterpiece: e-STORE Limited Edition	undefined	12;	undefined
62362	Battle Bears -1	undefined	31;32;	undefined
33304	Campgrounds: The Endorus Expedition - Collector's Edition	6;	13;15;	6;
108375	PUTIN, TRUMP and XIN JINPING	undefined	31;32;	undefined
33310	Roadworks Simulator	6;	13;	6;
128298	Kickochet	undefined	32;	undefined
111804	Hentai Dreams	undefined	15;32;	undefined
157023	Beat The Moles	undefined	13;32;	undefined
76341	Tales of the Lumminai	6;	12;31;32;	6;
34292	Chalo Chalo	6;14;	10;14;15;32;	6;14;
133700	Buzzed! Trivia	undefined	undefined	undefined
89444	Assetto Corsa Competizione	6;48;49;	10;13;14;	6;48;49;
138137	Blood Bowl 3	6;48;49;130;167;169;	14;15;	6;48;49;130;167;169;
140999	Radio Zonde	6;	5;32;33;	6;
37309	Squirm	15;	undefined	15;
125085	Somewhere inside	6;	12;31;32;	6;
118891	Deus Ex: Human Revolution - Complete Edition	9;	5;12;	9;
76775	The Fall: Last Days of Gaia	6;	12;16;	6;
136351	Get-'em-All Bundle	undefined	undefined	undefined
170018	PEPPERED	6;14;	31;32;	6;14;
116754	Biplane Racer	undefined	10;14;32;	undefined
167008	Maitetsu: Pure Station - Special Luxury Version with Hachiroku Cover Limited Edition	undefined	undefined	undefined
119448	The Flawless: Art's Tale	undefined	12;31;32;	undefined
95166	Escape the Darkness	undefined	31;32;	undefined
138884	You Suck at Parking	6;	10;32;33;	6;
85421	Table Football	5;	undefined	5;
86127	Kader Mühürleri	undefined	undefined	undefined
95082	Nano Golf: Puzzle Putting	39;	9;14;	39;
61195	The King of Fighters Encounter	undefined	4;15;	undefined
28143	Hard Truck: Road to Victory	6;	10;13;	6;
64837	Gravity Wars	3;6;14;	32;33;	3;6;14;
166997	Pro Evolution Soccer 2018: Legendary Edition	undefined	14;	undefined
93582	Super Spike V'Ball/Nintendo World Cup	undefined	13;14;	undefined
9935	4 x 4 Dream Racing	6;	10;	6;
45171	Barbie Software: Groovy Games	24;	undefined	24;
69734	Lunar Rover Patrol	undefined	10;	undefined
94741	Venture	12;	32;	12;
32095	GI Racing 2.0	6;	10;13;14;32;	6;
137298	Shin Megami Tensei: 20XX	55;	12;	55;
