game_id	game_name	game_engines	game_genres	game_platforms
133897	Ninja Knight	34;	25;31;32;33;	34;
11166	Sunday Funday: The Ride	18;	8;	18;
12020	Crystal Kingdom Dizzy	16;25;	8;9;31;33;	16;25;
129073	The Political Machine 2020	6;	13;15;32;	6;
98343	Hidden Object: Rapunzel	undefined	undefined	undefined
12604	Graham Taylors Soccer Challenge	16;	13;14;15;	16;
127121	Webmaster - Fantastic Adventures in the World of the Internet	6;	2;31;	6;
30132	Wizards and Warlords	3;6;14;	12;15;32;	3;6;14;
56507	RogueCraft Squadron	undefined	15;32;	undefined
11988	.hack//G.U. Vol. 2: Reminisce	8;	12;	8;
86437	Haunted Halls: Fears from Childhood - Collector's Edition	6;	31;	6;
35753	Dead TrailZ	6;14;	32;	6;14;
19458	The Secrets of Atlantis: The Sacred Legacy	6;14;39;	2;9;31;	6;14;39;
160160	WoodHeart	undefined	15;31;32;	undefined
8987	Smuggler's Guild	6;14;	12;16;	6;14;
33127	Hastilude	3;6;14;	32;	3;6;14;
151	Star Wars: Rebellion	6;	11;15;	6;
111296	For Honor: Marching Fire Edition	48;49;	25;31;	48;49;
71726	Cold Zero: No Mercy	undefined	undefined	undefined
50871	Sengoku Hime 3: Tenka o Kirisaku Hikari to Kage	6;9;38;46;	15;	6;9;38;46;
45617	Dial Q wo Mawase!	undefined	undefined	undefined
154269	WWII Online: Chokepoint	undefined	13;32;	undefined
125822	Transformers: Shadows Rising	undefined	undefined	undefined
148613	Syndication Cyberpunk	6;	5;25;31;	6;
145559	Seduce Me the Otome: Episode Series	3;6;14;	34;	3;6;14;
38597	Angel Kids	52;	undefined	52;
125826	Raidlands	undefined	undefined	undefined
160149	Wild Jigsaw VR	undefined	32;	undefined
60444	Tasogare no Sinsemilla	undefined	undefined	undefined
85195	Inazuma Eleven GO: Light & Shadow	37;	undefined	37;
125823	Storm Racer G	undefined	undefined	undefined
35929	Witch's Pranks: Frog's Fortune Collector's Edition	6;14;	31;	6;14;
51172	Oh My Goat	72;	8;	72;
125824	Visible Solar System	undefined	undefined	undefined
119255	Wheel of Fortune	48;49;130;	9;26;35;	48;49;130;
46145	Great Baseball	64;	13;14;	64;
5932	Motocross Mania 3	8;11;	10;	8;11;
57683	Cold Case Files	undefined	31;	undefined
12566	Death Trap	16;	25;31;	16;
708	Flanker 2.0	6;	13;31;	6;
