game_id	game_name	game_engines	game_genres	game_platforms
179414	Its an idle life for me!	undefined	undefined	undefined
179413	My Very Own Train Station	undefined	undefined	undefined
173800	Infinite Dash	49;	undefined	49;
173794	Aery Series Bundle	49;	undefined	49;
173798	Harvest Moon: One World Bundle	49;	undefined	49;
173799	Mr. Pumpkin Series Bundle	49;	undefined	49;
116414	RAD	6;48;49;130;	12;25;32;33;	6;48;49;130;
43383	Fugitive Hunter: War on Terror	6;8;	4;5;	6;8;
176041	Climber	4;	undefined	4;
178159	Brawlforming	3;6;	8;10;32;	3;6;
163947	Minimal Crypt	undefined	15;32;	undefined
4189	Super Robot Wars GC	12;21;	4;5;12;	12;21;
172737	T Kara Hajimaru Monogatari	7;	undefined	7;
53721	The Crew: Ultimate Edition	6;48;49;	10;	6;48;49;
176043	Zero Racers	87;	10;	87;
41981	Mail Plane	70;	13;	70;
176045	GoldenEye 007	87;	5;10;	87;
176044	Dragon Hopper	87;	8;	87;
144153	Aliens: Fireteam Elite	6;48;49;167;169;	5;	6;48;49;167;169;
113722	Almost There: The Platformer	6;48;49;130;	8;10;15;32;33;	6;48;49;130;
32891	Vistascapes VR	6;	13;31;	6;
130166	Euler Wars	6;	13;32;	6;
89100	Train Simulator PRO 2018	39;	13;	39;
113930	Ocmo	39;	8;	39;
41991	Blitz! - Action Football	70;	14;	70;
41987	Mine Storm II	70;	5;	70;
173797	Street Outlaws 2: Winner Takes All - Digital Deluxe Edition	49;169;	undefined	49;169;
138345	Flicker of Hope	6;14;	9;31;32;	6;14;
45575	A Year at Pooh Corner	339;	undefined	339;
179409	Project Retro Ninja	undefined	8;	undefined
179417	Preternatural Candy Shop	undefined	undefined	undefined
172734	Load Roll Die	3;6;14;	15;16;24;32;35;	3;6;14;
179410	Spacedust Defender	undefined	15;	undefined
5972	Ninja Gaiden	11;	25;31;	11;
179419	Post War	undefined	8;	undefined
2827	The Simpsons: Bart vs. The Space Mutants	13;15;16;18;25;26;29;35;63;64;	8;	13;15;16;18;25;26;29;35;63;64;
84372	Adventures in Letterland With Jack and Jill	339;	undefined	339;
176051	Kirby's Air Ride	4;	10;33;	4;
179412	B-Minus 50	undefined	33;	undefined
179411	140	undefined	8;	undefined
173795	Woodle Tree Bundle	49;	undefined	49;
173791	Leisure Suit Larry: Wet Dreams Saga Bundle	49;	undefined	49;
9061	Cuphead	6;14;48;49;130;	8;31;32;33;	6;14;48;49;130;
