game_id	game_name	game_engines	game_genres	game_platforms
19542	Oxygen Not Included	3;6;14;	13;32;	3;6;14;
12883	Land's End	162;	9;31;32;	162;
177814	Progress Knight	undefined	12;13;	undefined
12722	Prime Mover	16;	10;30;	16;
149351	Gray Space	undefined	13;31;32;	undefined
164741	Hunt Ducks	49;	undefined	49;
12141	Heavy Metal	13;15;16;	4;5;10;11;13;15;33;	13;15;16;
13174	Vainglory	6;14;34;39;	36;	6;14;34;39;
118648	Niara: Rebellion Of the King Visual Novel RPG	3;6;	12;32;	3;6;
35963	Ultimate Space Commando	6;	12;15;32;	6;
16080	Gemini Lost	3;6;14;	undefined	3;6;14;
118516	RAGE 2: Deluxe Edition	49;	undefined	49;
17189	Yomi	3;6;14;	15;32;	3;6;14;
109256	Ludomania	130;	15;35;	130;
1184	World of Tanks	6;12;48;49;	5;13;15;33;	6;12;48;49;
177817	C ya laterrrr	undefined	undefined	undefined
31512	Zombie Birds First Encounter Halloween	6;	undefined	6;
53278	LOGistICAL: Europe	6;	15;	6;
14983	Armored Fist	6;	13;15;	6;
29523	Pixel Stories of Dungeon	6;	12;31;32;	6;
18252	Chop Sushi	74;	13;	74;
40676	Super Baseball	59;	14;30;	59;
117590	Hell Architect	6;	13;15;32;	6;
19802	The Guided Fate Paradox	9;	12;15;	9;
177812	I doesn't exist	undefined	9;31;	undefined
139650	Tree House Survivors	6;	13;15;32;	6;
141840	Mython Island	6;	31;32;	6;
149353	Deduction	undefined	13;15;32;	undefined
15598	Apocalypse	26;69;	5;16;	26;69;
12827	Wild Streets	16;25;63;	25;	16;25;63;
177833	Marshmallow Nights	undefined	undefined	undefined
177834	13 Laurel Road	undefined	undefined	undefined
14436	Amnesia	13;15;75;	31;	13;15;75;
22573	Gene Troopers	8;	5;	8;
142346	Oceanhorn: Chronos Dungeon	14;39;	25;	14;39;
149358	Big Watermelon	undefined	undefined	undefined
147615	Super Battle Cards	130;	9;15;35;	130;
15883	Chessmaster 10th Edition	6;	14;15;26;	6;
14335	Borodino	13;16;63;	15;	13;16;63;
177820	Hot Soup	undefined	undefined	undefined
43147	Pixel Pursuit	3;6;14;	32;	3;6;14;
177819	Joestar Struck	undefined	12;34;	undefined
149360	Solitaire Forever II	undefined	undefined	undefined
116679	Windstorm: Ari’s Arrival	6;48;130;	13;31;	6;48;130;
80755	Super Robot Wars 2	99;	15;	99;
71359	Kaze no NOTAM	7;9;38;46;	13;	7;9;38;46;
16841	Girls Like Robots	3;6;14;41;	9;31;32;	3;6;14;41;
104366	Unbroken Warrior	6;14;	undefined	6;14;
13060	Fire-Brigade: The Battle for Kiev - 1943	13;14;16;63;	16;	13;14;16;63;
18530	Spider Fighter	59;	5;33;	59;
