game_id	game_name	game_engines	game_genres	game_platforms
178812	Hallways of Fear	undefined	undefined	undefined
116064	Bunny Parking	6;48;49;	9;15;32;	6;48;49;
109717	Feed the Pets	6;	32;	6;
98567	Hidden Object: Stars & Stripes	undefined	undefined	undefined
99209	Thirdmage	undefined	undefined	undefined
5253	Ultimate Shooting Collection	5;	5;	5;
19438	Turmoil	3;6;14;39;130;	13;15;32;	3;6;14;39;130;
165364	Cube Dancer	6;	32;	6;
93696	War of Spells	6;14;	31;	6;14;
178804	6 AM at The Chum Bucket	undefined	31;33;	undefined
178803	If I'm broken, you are too.	undefined	undefined	undefined
133246	Shinsou Seiki Elementia ~Kutsujoku no Sennou Saimin~	6;	undefined	6;
142189	Kill Fish	6;	8;31;32;	6;
178815	Nymble	undefined	8;9;16;	undefined
117271	Chained Echoes	3;6;14;48;130;	12;16;32;	3;6;14;48;130;
178805	The Sock Epic	undefined	31;	undefined
126223	Zombie valley	6;	31;32;	6;
104164	Aground	3;6;14;48;49;169;	12;31;32;	3;6;14;48;49;169;
159231	SD Gundam Over Galaxian	7;	5;33;	7;
1264	Sparkster: Rocket Knight Adventures 2	29;	5;8;31;	29;
71627	Shrek Swamp Fun with Phonics	undefined	undefined	undefined
122350	The Cases of the Thousands Shogi Records	6;48;130;	13;31;34;	6;48;130;
109357	Pixel Royale	3;6;14;	13;32;	3;6;14;
167668	Rad Dude	undefined	12;13;	undefined
138880	Dark Dealings	undefined	undefined	undefined
9108	The Immortals of Terra: A Perry Rhodan Adventure	6;	2;31;	6;
135172	Kajko i Kokosz: Twierdza Czarnoksiężnika	undefined	2;	undefined
1503	Front Mission 4	8;	12;15;24;	8;
81724	Change	6;	31;32;	6;
128380	Touhou Soccer	6;	12;14;	6;
140424	Pic-a-Pix Pieces 2	46;48;	undefined	46;48;
58472	Orwell's Animal Farm	6;34;39;	2;13;31;32;	6;34;39;
80581	Iron Cross	undefined	15;	undefined
123308	Edo Bunka Rekishi Kentei	undefined	undefined	undefined
136510	The Universe According to Virgil Reality	6;	2;	6;
12907	SimIsle: Missions in the Rainforest	6;13;14;	13;15;	6;13;14;
9034	Battle Isle: The Andosia War	6;	11;15;16;24;	6;
140489	Italy '90 Soccer	13;	14;	13;
140423	Pic-a-Pix Classic 2	46;48;	undefined	46;48;
124113	Uwasa no Midori-kun!! Futari no Midori!?	undefined	undefined	undefined
178802	The Knife of the Traitor	undefined	34;	undefined
178784	Heart À La Mode	undefined	34;	undefined
34961	6 Nights	6;	13;32;	6;
32889	Eleven: Table Tennis VR	6;	13;14;	6;
178811	Anime Dream Girl	undefined	12;	undefined
55920	Densha de D: Climax Stage	6;	10;34;	6;
178801	Colorful Mirai	undefined	34;	undefined
82071	Medieval II: Total War - Collection	3;6;14;	12;16;	3;6;14;
35346	Zombie Zoeds	6;	31;32;	6;
21814	Chessmaster LIVE	12;	35;	12;
11450	Warhammer 40,000: Regicide	6;34;39;48;	9;15;16;24;32;	6;34;39;48;
126423	Countrified	6;	12;13;31;32;	6;
95477	SimSafari	6;14;	15;	6;14;
21570	Tekken Hybrid	9;	4;14;25;	9;
15409	Folk Tale	6;14;	12;13;15;31;32;	6;14;
37605	Star Parodier	5;150;	5;	5;150;
40110	Combat Hawk	52;	5;	52;
178810	I accidently insulted a witch and now all of my clothes are sentient and they hate me!	undefined	12;	undefined
17361	Millennium 4: Beyond Sunset	6;	12;31;32;	6;
40940	Re-Bounder	15;	9;	15;
166318	Soi Kano: Gyutto Dakishimete - Limited Edition	undefined	undefined	undefined
114416	Fishing Universe Simulator	130;	13;14;	130;
117808	Tetromino Attack	undefined	13;32;	undefined
41940	Mary Le Chef - Cooking Passion	6;14;	13;31;	6;14;
121795	ROYAL AREA	undefined	5;8;32;	undefined
112139	Mr Bean - Flying Teddy	undefined	undefined	undefined
136289	Desperados III: Deluxe Edition	49;	15;	49;
182300	Idle Superpowers	undefined	undefined	undefined
137797	Medic: Pacific Corpsman	undefined	undefined	undefined
39124	Venom Strikes Back	undefined	5;	undefined
119849	J Connect	undefined	13;31;32;	undefined
110315	Game of Thrones: Seven Kingdoms	undefined	undefined	undefined
30431	Royal Detective: The Lord of Statues - Collector's Edition	6;	31;	6;
129490	Hack'n Stalk 2.0	6;	2;34;	6;
134418	Maltese Cross	69;	15;35;	69;
31227	emoj.io	3;6;14;	32;	3;6;14;
116078	The King's New Castle	undefined	13;15;32;	undefined
159236	SD Gundam G-Century	7;	5;15;16;24;	7;
31112	Vzerthos: Heir of Thunder	6;	5;12;31;32;	6;
72445	Yerah	6;	12;13;31;32;	6;
126307	摆渡人生	undefined	12;13;	undefined
144982	Boom Karts: Multiplayer Kart Racing	34;	10;	34;
159235	SD Gundam G-Century S	32;	5;15;16;24;	32;
16743	Uniracers	19;	10;	19;
55083	Super Stuntman	15;25;26;	33;	15;25;26;
171808	Farkeep	6;130;167;169;	12;31;32;	6;130;167;169;
7962	Gravity Bone	6;	8;13;31;32;	6;
149216	Space Wave Race	undefined	10;	undefined
42055	Bomberman: Users Battle	86;	undefined	86;
107312	Help Purple	39;	2;9;31;	39;
128021	Skull Rogue	6;130;	12;31;32;33;	6;130;
134421	Soccer Manager	69;	13;14;	69;
134420	Witch Hunt	69;	33;	69;
4370	Sunset Riders	19;29;52;	5;33;	19;29;52;
22682	Puzzlejuice	39;	9;	39;
58538	SD Gundam G Generation: Cross Drive	20;	15;16;24;	20;
4610	City Connection	5;18;26;27;37;41;52;	8;10;31;	5;18;26;27;37;41;52;
463	Simon the Sorcerer 5: Who'd Even Want Contact?!	6;	2;31;	6;
43266	Zombie Virus	8;	undefined	8;
34363	Fruit Golf	6;	14;32;	6;
32033	Interstellar Logistics Inc	6;	undefined	6;
31164	Super Ninja Hero VR	6;	31;32;	6;
94006	Maze Action	undefined	undefined	undefined
39812	Yam yam	undefined	undefined	undefined
36051	The Sea Will Claim Everything	6;	31;32;	6;
21147	Crimson Alliance	12;	12;25;	12;
28702	Virtually Impossible	6;	10;13;31;32;	6;
58205	Blocky Soccer	undefined	undefined	undefined
7785	Bill Elliott's NASCAR Challenge	13;14;16;18;	10;13;	13;14;16;18;
