game_id	game_name	game_engines	game_genres	game_platforms
33007	Iron Impact	6;	13;15;	6;
131945	Project Kat	3;6;14;	9;12;	3;6;14;
22093	Bananas!!!	34;39;	33;	34;39;
49024	Riddick Bowe Boxing	19;33;	4;14;	19;33;
96025	Guns and Blood: 2D Zombie Shooter	34;	5;	34;
46592	TNN Bass Tournament of Champions	29;	14;	29;
725	Galactic Civilizations II: Dread Lords	6;	16;	6;
96847	VROOM KABOOM	6;48;162;165;	10;15;32;	6;48;162;165;
30724	Warpin: Creation (VR)	6;	31;32;	6;
98945	WWII: Battles of the South Pacific	undefined	undefined	undefined
25213	Songbringer	3;6;14;48;49;130;	12;31;32;	3;6;14;48;49;130;
125272	Mega Tetris 2000	26;	33;	26;
128176	DragonRide VR	6;	5;13;31;32;	6;
172811	Social Wars	82;	11;	82;
138945	beatmania IIDX 28 BISTROVER	52;	7;	52;
72200	Dark Sider	53;	31;	53;
2359	Total War: Rome II	6;14;	11;12;15;16;	6;14;
111368	Cursed Mansion	6;	31;32;	6;
121536	寻书人 Book Seeker	undefined	12;32;	undefined
169516	Frank the Farmhand Part 1	6;	2;31;	6;
28316	Samhain World	6;	12;31;32;	6;
101732	Badge Emperor	undefined	undefined	undefined
65563	Class of Heroes 3	undefined	undefined	undefined
92242	City Racer	undefined	undefined	undefined
42809	Pangya: Fantasy Golf	38;	12;14;	38;
64428	Otis	undefined	9;	undefined
90333	Neon Rage	undefined	32;	undefined
132536	Get Good by Vypur	undefined	31;32;	undefined
28742	Myths of the World: Stolen Spring - Collector's Edition	6;	31;	6;
169517	Frank the Farmhand Part 2	6;	2;31;	6;
169518	Pirate Galaxy	6;82;	12;	6;82;
11891	Airborne Ranger	13;15;16;25;26;63;	5;13;24;31;33;	13;15;16;25;26;63;
21190	Help Wanted: 50 Wacky Jobs!	5;	13;	5;
169505	Among Us Arena	6;	4;32;	6;
157079	Little Moneybags	undefined	13;	undefined
169519	Zero4 Champ	86;	undefined	86;
174649	The Irregular at Magic High School Reloaded Memory	undefined	4;12;	undefined
174648	Oopstacles	undefined	33;	undefined
118477	Gold Hunter	undefined	13;32;	undefined
150431	Furry Heroes	6;	34;	6;
96226	Hover X Souls	undefined	13;32;	undefined
77550	Death Coming	6;48;130;	9;15;31;32;	6;48;130;
19270	Wayward Souls: Curse of Shadow	6;34;39;	12;31;32;33;	6;34;39;
78442	McKenzie & Co.	undefined	31;	undefined
133845	Terrene	6;	31;	6;
85217	Jolt Family Robot Racer	41;48;130;	8;10;33;	41;48;130;
19149	Time Clickers	6;34;39;82;	5;15;32;	6;34;39;82;
67384	Bishoujo Shashinkan Special: Double Vision	undefined	13;	undefined
74243	Maze Up!	6;	32;	6;
178732	Resilience of Hearts: Formerly Broken Chains	undefined	12;31;	undefined
27581	Mr Bean	5;6;8;20;	8;31;	5;6;8;20;
75442	SNK vs Capcom Cardfighters Clash Capcom Supporters Edition (Best Collection)	120;	undefined	120;
126863	Blood Scrolls	undefined	32;	undefined
38039	Fabulous - Angela's High School Reunion	6;	13;31;32;	6;
38070	21-Emon	86;	9;15;	86;
149016	CraftOut	undefined	32;	undefined
178731	The House on the Left	undefined	8;	undefined
19310	Dragon Ball: Raging Blast	9;12;	4;	9;12;
121707	Desperabis	13;	31;	13;
9309	Yosumin!	6;	8;9;	6;
90485	Atooms to Moolecules	6;	32;	6;
80506	Seven Mysteries	undefined	31;	undefined
17778	Meadowland	6;	13;32;	6;
65374	Fists of Resistance	undefined	undefined	undefined
42969	Watch_Dogs - Vigilante_Edition	6;9;12;41;48;49;	4;5;31;	6;9;12;41;48;49;
46379	Tee Off	23;	14;	23;
113803	Xtreme League	undefined	14;32;	undefined
65087	Renaissance Heroes	undefined	5;	undefined
