game_id	game_name	game_engines	game_genres	game_platforms
49868	Action Man: Search For Base X	22;	8;	22;
129951	Speedway Racing	130;	10;13;14;33;	130;
147093	ACA NEOGEO BIG TOURNAMENT GOLF	130;	14;33;	130;
33504	Outbreak: Pandemic Evolution	6;	15;31;32;	6;
130121	Bierwagen Rush	6;	32;	6;
129973	Shoot, push, portals	6;	32;	6;
152183	Please Be Happy	6;	13;34;	6;
152577	Chess Valley 2	6;	32;	6;
30657	Doomsday Survival:Training	6;	14;32;	6;
111931	Falnarion Tactics	undefined	12;15;	undefined
33346	Grand Pigeon's Duty	6;	12;13;15;31;32;	6;
119457	INTERSTELLAR ROGUE	6;	12;	6;
121491	Farming Village	undefined	12;13;15;31;	undefined
86626	Clash of Magic VR	undefined	15;	undefined
9559	Titan Souls	3;6;14;34;46;48;	12;31;32;	3;6;14;34;46;48;
143948	KnightRoyale	undefined	32;	undefined
26576	Mountain Trap: The Manor of Memories	6;	2;9;32;	6;
168220	Sokoban: Bunny Tales	undefined	32;	undefined
112956	Food Girls	6;130;	32;34;	6;130;
168219	Monster Seek	undefined	31;32;	undefined
129939	A Gay's Life	6;	12;15;31;32;	6;
146952	Steel Walker	6;	5;13;	6;
11781	Muv-Luv Alternative	6;9;12;46;	12;31;34;	6;9;12;46;
157922	Color Phase	undefined	32;	undefined
9018	Scourge Outbreak	6;	5;32;	6;
20803	Super Puzzle Fighter II Turbo	7;32;52;	9;33;	7;32;52;
102311	BulletRage	undefined	5;32;33;	undefined
32458	Neon Warp	6;	32;	6;
178070	Penthos	3;6;14;	32;34;	3;6;14;
1870	Shellshock: Nam '67	6;8;9;11;	5;	6;8;9;11;
149526	Hell Loop	undefined	15;32;	undefined
46369	Toy Racer	23;	10;	23;
22054	Maximo : Ghosts to Glory	8;	31;	8;
132091	Black Wolves Saga -Weiβ und Schwarz-	46;	34;	46;
149277	Kingdom of Kuru: The Great Race	39;	8;10;	39;
20086	Serious Sam Double D XXL	6;	5;8;32;	6;
150459	Player City	undefined	13;31;32;	undefined
102936	Infinite World	undefined	12;31;32;	undefined
73038	Shred Nebula	12;	5;	12;
99122	Shadow of the Tomb Raider: Croft Edition	6;48;49;	undefined	6;48;49;
146569	Jewel Wizardry	6;	9;	6;
146576	Super Mole	6;	33;	6;
77146	Axis & Allies	6;	15;26;	6;
165390	Blasphemous II	undefined	8;25;31;	undefined
66059	Dungeon Land	undefined	15;	undefined
17021	RUiN	6;	11;15;	6;
172659	Forgotten Chain	6;	12;	6;
120460	Galaxy Forces VR	6;	10;32;	6;
137688	Words On Stream	82;	26;	82;
42387	Jutei Senki	58;	15;	58;
21803	Shotest Shogi	undefined	undefined	undefined
32215	Cross Death VR	6;	15;31;32;	6;
153737	Parallel Harmony ~Getsuyou no Tobira wa Suiyou no Mukou ni~	undefined	34;	undefined
140763	Merge Magic!	34;39;	undefined	34;39;
168222	Mira and the Mysteries of Alchemy	undefined	32;	undefined
87782	Mega Man Legacy Collection 1 + 2	6;48;49;130;	5;8;31;	6;48;49;130;
30535	Hopalong: The Badlands	6;	5;31;32;	6;
128940	Rainy Night	6;	31;32;	6;
153739	Romance	undefined	34;	undefined
182282	Haunted Hotel: Personal Nightmare	6;	2;9;	6;
101989	Antumbra	82;	2;31;	82;
11890	Agony	16;	5;	16;
36645	RUN	6;	8;13;32;	6;
41072	Schoolgirl Strikers: Twinkle Melodies	undefined	7;	undefined
12164	The Killing Game Show	16;29;	5;8;	16;29;
141935	Wilds	82;	32;	82;
182283	Rusted moss	6;	5;8;31;32;	6;
153738	Q【cue】	undefined	34;	undefined
14481	Oh No! More Lemmings	13;14;16;	9;15;	13;14;16;
3669	Shrek the Third	5;6;8;12;20;24;38;55;	8;25;31;	5;6;8;12;20;24;38;55;
80539	Super Bomberman 4	58;	undefined	58;
76047	Drone Infiltrator	6;	13;15;	6;
141907	The Heartbeat You Never Had	82;	undefined	82;
136100	Walking Simulator A Month Club (Complete Edition)	6;	13;31;32;	6;
12694	Narco Police	13;15;16;25;27;	5;15;	13;15;16;25;27;
4102	Sega Soccer Slam	8;11;12;21;55;	14;	8;11;12;21;55;
5879	Shadow of the Beast II	16;29;78;118;	8;9;25;	16;29;78;118;
140781	Gartic Phone	82;	undefined	82;
103517	Aggelos	6;48;49;130;	8;12;31;32;	6;48;49;130;
169134	CHECK-IN	82;	26;	82;
182281	Haunted Hotel: The Thirteenth	6;	2;9;	6;
150798	Seven Dunes: Curse on the Golden Sand	undefined	31;	undefined
7187	Shooting Love, 200X	12;	5;	12;
146859	Go! Birdie	130;	33;	130;
113512	What Never Was	3;6;	31;32;	3;6;
12129	Gunship 2000	13;16;114;	13;	13;16;114;
23689	Battle Chef Brigade	3;6;14;48;130;	8;12;13;31;32;	3;6;14;48;130;
4984	Madden NFL 09	5;8;9;11;12;20;38;	13;14;	5;8;9;11;12;20;38;
118473	Electrician Simulator	undefined	13;31;	undefined
45561	Disney Collection: Castle of Illusion & Quackshot	29;	8;31;	29;
3670	Shrek Forever After	5;6;9;12;20;39;	31;	5;6;9;12;20;39;
111533	SEQUENCE STORM	6;	7;10;32;	6;
147011	Final Fantasy X/X-2 HD Remaster Twin Pack	46;	undefined	46;
75314	RoboVDino	3;6;14;	32;	3;6;14;
131645	Knock on the Coffin Lid	6;	12;15;16;32;35;	6;
50899	Mixed-Up Mother Goose	13;	undefined	13;
127634	Zombie's Retreat	6;34;	12;	6;34;
11259	Alien Nations	6;	11;15;	6;
48926	Spider-Man 3: Invasion of Spider-Slayers	33;	8;	33;
126351	141	undefined	32;	undefined
86901	Chess Plus+	14;	undefined	14;
141233	MODERN WARSHIPS	34;39;	5;13;	34;39;
131663	The Astro Parcel Service	6;	32;	6;
19738	Virtual Hydlide	32;	12;31;	32;
31146	Cards of Cthulhu	3;6;14;	12;15;16;32;35;	3;6;14;
2125	DarkStar One	6;	13;	6;
164631	Ultima Underworld 1+2	undefined	12;	undefined
2585	Skate	9;12;55;	13;14;	9;12;55;
50223	Aeternum	6;12;	5;32;	6;12;
140772	Ovine Replica	6;14;	34;	6;14;
149039	Gazmatera: Return Of The Generals	6;	31;32;	6;
28489	Ready or Not	6;	5;13;32;	6;
90122	GOHOROBO	6;	32;	6;
90641	Ping	undefined	32;	undefined
80667	Tennis Elbow 2006	6;	14;	6;
4214	Cities XL Platinum	6;	13;15;	6;
11564	Gal*Gun: Double Peace	6;46;48;	5;12;31;	6;46;48;
118375	MYRRH	6;	31;32;	6;
82399	Scrapper	6;	10;13;31;32;	6;
35016	Robo Miner	6;	32;	6;
121929	Kawaii Killer	34;39;	33;	34;39;
110566	Scally's World: Numbers & Sums	6;	9;	6;
152190	Clawfish	6;	13;31;32;33;	6;
131841	Fantastical	6;	8;25;31;	6;
25114	Hezarin	112;	31;	112;
22348	Pyxel Knight - Engagement Quest	6;	8;31;	6;
19718	Saban's VR Troopers	29;35;	4;	29;35;
54855	Pixel War	6;	32;	6;
3258	Muppet Monster Adventure	7;	8;	7;
42425	Wagyan Paradise	19;	8;	19;
55250	Pinball Deluxe: Reloaded	6;14;	13;32;	6;14;
101087	Train Vs Car Racing 2 Player	undefined	10;	undefined
118362	Guns of Midnight	6;	31;32;	6;
22121	Mia and the Bugaboos	6;	undefined	6;
127491	City Mania	6;34;39;	undefined	6;34;39;
174237	Patchman Adventures	39;	undefined	39;
29080	Darwin's bots	6;	31;32;	6;
54465	月之暗面 The Dark Side Of The Moon	6;	15;32;	6;
11258	Mario & Sonic at the Rio 2016 Olympic Games	41;	14;	41;
144180	Hamidashi Creative	48;130;	34;	48;130;
106837	Blue red aaaargh	14;34;	32;33;	14;34;
28169	Epic Prose	6;	12;	6;
121633	Escape Zolstar	undefined	31;32;	undefined
125184	Rico: A Tale Of Two Brothers	6;34;39;	8;	6;34;39;
86697	Glowfish HD	14;	33;	14;
51177	Abbigale and the Monster	72;	9;	72;
4286	The Life Stage	50;	undefined	50;
36922	Mini Racing Mania: Multiplayer	34;	5;10;15;	34;
95313	Archer 2	39;	33;	39;
118022	Russian Life Simulator	6;	13;14;15;32;	6;
29976	Hardnoid	6;	32;	6;
182280	Haunted Hotel: Silent Waters	6;	2;9;	6;
41560	Norseman	27;88;133;	15;31;	27;88;133;
2608	Bloody Good Time	6;12;	5;	6;12;
95037	Spider Hero: Final Battle	34;	4;31;	34;
152192	Cat Designer Mocha	34;39;	undefined	34;39;
125816	SCP: Ascension	6;	5;	6;
138361	Like Roots in the Soil	6;14;	32;	6;14;
9911	Winterflame : The Other Side	3;6;	8;9;31;32;	3;6;
114789	oddlly	34;	9;	34;
64365	Ski Race	12;	14;	12;
32039	ATV Quadracer Ultimate	6;	10;13;14;	6;
52323	Crazy Minigolf 3D	undefined	undefined	undefined
89711	Mastermind - Cows and Bulls Free Word Game	undefined	undefined	undefined
30840	Xark	undefined	12;15;32;	undefined
27132	Scrap Chute	34;	32;	34;
51251	World of Padman	6;	5;13;14;	6;
77185	Thwocker	59;	8;	59;
11033	Versailles Mysteries 2: The Royal Spy	undefined	undefined	undefined
121321	Silicon City	3;6;14;	13;32;	3;6;14;
14550	Action Henk	3;6;9;14;48;49;	8;10;14;32;	3;6;9;14;48;49;
137362	Isle of the Crown	6;	15;32;35;	6;
41032	Space Lobsters	65;	5;33;	65;
132321	Zatorski, Ph.D.	undefined	12;31;32;	undefined
10431	Vsevolod	34;	32;33;	34;
13588	Dempsey and Makepeace	25;	9;	25;
116748	TaikoVR	undefined	13;32;	undefined
182278	Multiversus	6;48;49;167;169;	4;	6;48;49;167;169;
178071	Witch: A Special Delivery	6;	8;31;32;	6;
63453	Diabolik Lovers More, Blood	38;46;	34;	38;46;
40017	Sengoku Ace	52;55;	5;	52;55;
133115	Sword and Adventurer	6;	12;31;32;	6;
13169	Steamfarer	6;	12;	6;
