game_id	game_name	game_engines	game_genres	game_platforms
147088	Travel Mosaics 5: Waltzing Vienna	130;	9;15;35;	130;
9359	Alexander	6;	11;15;	6;
3874	Def Jam Vendetta	8;21;	4;14;	8;21;
125013	MLB The Show 20	48;	14;	48;
72602	Momma Can I Mow The Lawn?	undefined	10;	undefined
109085	End Roll	6;	12;31;	6;
75003	WAR Pig - Big Bang	6;	15;16;	6;
175652	Cadulium	6;	31;	6;
61098	The Great Fusion	undefined	31;	undefined
60040	Taiko no Tatsujin Wii: Ketteiban	5;	7;	5;
43565	Casper Scare School	undefined	undefined	undefined
10171	Deadlock: Planetary Conquest	6;14;	15;16;	6;14;
116826	Sounds of Talent: Kpop Adventure	undefined	31;	undefined
1006	Syndicate	6;9;12;	5;	6;9;12;
71273	Elite Forces: WWII Normandy	undefined	5;	undefined
41820	Creeping Terror	6;37;	31;32;	6;37;
116507	Trapped on Monster Island	undefined	12;32;	undefined
151673	Grow: Song of the Evertree	6;48;49;130;	9;12;13;31;32;	6;48;49;130;
78306	Nobunaga no Yabou Online	undefined	12;	undefined
24941	Demolish & Build 2017	6;	13;	6;
72064	Thinking Games 2	undefined	undefined	undefined
141787	Paralyzed	6;	8;32;	6;
64098	HeroClix TabApp	39;	15;	39;
11346	Her Story	3;6;14;34;39;	2;9;13;31;32;	3;6;14;34;39;
151905	Ontei no Ein: Mahou Shikake no Chouritsushi	6;	9;	6;
123781	Rolling Rumble	undefined	32;	undefined
37616	Spriggan Mark 2: Re-Terraform Project	150;	5;	150;
99058	Community College Hero: Knowledge is Power	undefined	12;31;32;	undefined
34941	Devil's Bluff	6;14;	31;32;	6;14;
13861	Grand Prix Simulator	15;25;26;65;	10;33;	15;25;26;65;
8895	Populous II: Trials of the Olympian Gods	13;16;19;29;58;	11;13;15;	13;16;19;29;58;
125042	Battle Mech Frontier	6;	15;	6;
13976	Bloody Paws	26;27;	25;	26;27;
131318	Sega Tetris	23;52;	9;33;	23;52;
65031	Nippon Daihyou Team: Eikou no Eleven	undefined	14;	undefined
70148	The Scrolls of Abadon	undefined	15;	undefined
65184	The Three Stooges: Treasure Hunt Hijinks	undefined	9;31;	undefined
85084	Discolight	159;	undefined	159;
106790	Bee Simulator	6;48;49;130;	13;31;	6;48;49;130;
163025	OverShoot Battle Race	undefined	10;15;32;	undefined
135213	Milkman Karlson	3;6;14;	31;32;	3;6;14;
106164	RiceCakers	undefined	32;	undefined
69184	Tokyo Twilight Busters	undefined	31;	undefined
122824	Valakas Story	undefined	31;	undefined
177510	9pm	undefined	34;	undefined
114875	Synthrun	undefined	32;	undefined
158361	Move 'n' Bloom	undefined	32;	undefined
67373	Keiko-Chan No Himitsu	undefined	31;	undefined
150264	Reversi Let's Go	130;	9;35;	130;
182237	Dog Petting Simulator	6;14;	13;32;	6;14;
88385	PROXIMA ROYALE	6;	5;13;32;	6;
177513	Medusa's Mini Mystery	undefined	34;	undefined
81024	Keyboard Warrior	undefined	32;	undefined
10861	Arabian Nights	16;114;	8;31;33;	16;114;
69237	Feeding The Monster	3;6;14;	32;	3;6;14;
121800	Biomech	undefined	31;32;	undefined
64702	Ghost Mania	5;	9;15;	5;
28271	Spirit Guide Crucible	3;6;	32;	3;6;
65891	Madness Accelerant	82;	5;	82;
135942	the last days of our castle	82;	31;32;34;	82;
177512	Essence Hunt	undefined	34;	undefined
34027	Umbra: Shadow of Death	6;	32;	6;
127029	Starship Troopers: Terran Command	undefined	15;	undefined
70373	Reality Check 2	undefined	undefined	undefined
71148	The 3D Adventures of Sailor Moon	6;	9;	6;
122378	Summer Paws	6;130;	9;31;32;	6;130;
72031	Lord of the Shades	undefined	15;	undefined
111275	Lil' Arena	undefined	32;	undefined
11879	9 Lives	16;63;	8;	16;63;
109826	Super Animal Royale	6;48;49;130;167;169;170;	5;31;32;33;	6;48;49;130;167;169;170;
36698	Flotilla WWII	6;	15;16;	6;
119825	Jack Move	6;14;130;	12;31;32;	6;14;130;
134098	Jam and the Mystery of the Mysteriously Spooky Mansion	3;6;14;	2;31;32;	3;6;14;
73031	Super Air Zonk: Rockabilly-Paradise	5;150;	5;33;	5;150;
77031	World of Mixed Martial Arts 2	undefined	4;13;14;	undefined
70184	A Tale of Two Kingdoms	undefined	31;	undefined
56682	Christmastry 2	6;	undefined	6;
42695	Total Recoil	39;46;	5;	39;46;
71184	Olympic Trials	undefined	14;	undefined
109455	Luigi's Mansion 3	130;	31;	130;
28309	Tanzia	6;130;	12;31;32;	6;130;
108926	Diamond Hunt	34;	9;	34;
177511	I've Transmigrated as the Supreme Villainess... but I have no idea wtf I'm supposed to do!	undefined	34;	undefined
35709	Clean'Em Up	6;	32;	6;
134785	Songs and Flowers	3;6;14;	32;34;	3;6;14;
144057	Queen Rules	39;	9;35;	39;
61063	Monkey Boxing	39;	14;	39;
110746	Afarid	6;	13;31;32;	6;
115609	Tales of Nebezem RPG: Red Peril	3;6;14;	12;31;32;	3;6;14;
76148	Factory Mogul	undefined	15;	undefined
174619	Foodies	39;	9;33;	39;
43710	NCAA March Madness '98	7;	14;	7;
73124	Wallace & Gromit Fun Pack	undefined	26;	undefined
77148	Backgammon	117;	undefined	117;
144790	The exact moment	82;	9;32;	82;
82148	Warriors: Rise to Glory!	6;14;	12;15;32;	6;14;
117000	Super Buckyball Tournament	6;48;49;130;	14;32;	6;48;49;130;
83148	Seris the Devil Killer in Harbor Village	undefined	undefined	undefined
