game_id	game_name	game_engines	game_genres	game_platforms
80485	Fushigi no Dungeon: Furai no Shiren Gaiden - Onna Kenshi Asuka Kenzan!	6;23;	12;	6;23;
103893	Brutal Street 2	undefined	undefined	undefined
121448	Top Speed 2: Racing Legends	undefined	10;13;14;	undefined
65781	Airstrike One	6;	13;31;32;	6;
66804	Frontline Attack: War Over Europe	6;	11;15;	6;
37661	Power League V	86;	14;	86;
68900	Haunted Casino	undefined	16;	undefined
13517	Core	15;25;26;	8;31;	15;25;26;
67544	Dejiko no Maibura	undefined	undefined	undefined
13965	Beatcha	26;	undefined	26;
67506	Gold Star	undefined	30;	undefined
72968	Pony Luv	undefined	13;	undefined
65187	Hidden in Time: Looking-glass Lane	undefined	9;31;	undefined
73740	The Liberation of Kuwait	undefined	13;	undefined
73801	Alfred Pelrock	undefined	31;	undefined
81329	Tank Force	undefined	undefined	undefined
58393	Sesame Street: Oscar's Letter Party	undefined	undefined	undefined
81401	Die kleine Lokomotive und ihre Freunde	undefined	undefined	undefined
121287	告死天使之言 - Death angel	undefined	31;32;	undefined
102399	Chocolate makes you happy 6	6;	32;	6;
6018	Rugby 06	6;8;11;	13;14;	6;8;11;
81404	Mathe Pfiffikus 1 - 1995	undefined	undefined	undefined
120568	WoMen in Science	6;	12;13;32;	6;
20290	Under Night In-Birth Exe:Late	6;9;52;	4;33;	6;9;52;
136168	DOOM: Day One Edition	undefined	undefined	undefined
59886	Mychess II	15;	15;26;	15;
73840	Connect Four Cities	undefined	15;26;	undefined
78921	Dien Bien Phu	undefined	13;15;	undefined
87540	Zeus vs Monsters – Fun Math Games for Kids	undefined	undefined	undefined
89602	Bitcoin Miner	undefined	12;31;32;	undefined
12958	One Man and His Droid	15;25;26;65;93;94;	9;	15;25;26;65;93;94;
57230	Power Supply	18;	7;	18;
62199	Flappy 2: The Resurrection of Blue Star	undefined	9;	undefined
81577	DWK 5: Hinter dem Horizont	undefined	9;31;	undefined
125942	hhGregg's Quest for Coupons	6;	undefined	6;
75413	Halo 5: Guardians Digital Deluxe Edition	49;	5;	49;
157097	Zero Lives	undefined	32;	undefined
59314	Eagles Strike	undefined	13;15;	undefined
66845	Pink Panther's Magic Island	339;	undefined	339;
20522	LostMagic	20;	11;12;15;	20;
21263	Combat Mission Shock Force: Marines	undefined	13;15;	undefined
48619	Heracles no Eikou II: Titan no Metsubou	99;	12;31;	99;
63871	Fatal Seduction	undefined	undefined	undefined
81249	The Elder Scrolls VI	6;169;	12;31;	6;169;
157089	Vocabrawlary	undefined	32;	undefined
73974	The Secrets of Alamut	undefined	31;	undefined
80124	Chart Wars	undefined	undefined	undefined
112463	RCRacer VR	undefined	10;32;	undefined
57582	Anacreon: Imperial Conquest in the Far Future	undefined	15;	undefined
35269	Treeker: The Lost Glasses	6;	31;32;	6;
70667	Dragon Quest: Monster Battle Road II Legends	undefined	undefined	undefined
28910	No Stick Shooter	6;14;	32;	6;14;
105213	Shimmer	6;	31;	6;
71599	Soukou Musume (Armored Girls)	undefined	undefined	undefined
33593	The Lost Heir 2: Forging a Kingdom	3;6;14;	12;32;	3;6;14;
69813	Xiama	undefined	9;31;	undefined
61699	Poker Superstars: Invitational Tournament	undefined	16;	undefined
80781	PopCap Hits! Vol 2	undefined	undefined	undefined
4384	Captain Planet and the Planeteers	18;29;	8;	18;29;
73999	Twisty Tracks	undefined	15;	undefined
163984	The Godkiller: Chapter 1	6;14;	9;31;32;	6;14;
116257	Bubble Struggle II: Rebubbled	82;	33;	82;
117282	Motorsport Manager Online	34;39;	10;14;	34;39;
89710	Baby Hazel Easter Fun by Baby Hazel Games	undefined	undefined	undefined
105493	Twinoo Brain Training	undefined	undefined	undefined
54877	NeonGalaxy Wars	6;	32;	6;
128765	The Elder Scrolls Online: Greymoor - Collector's Edition	undefined	undefined	undefined
69264	Amaranth III	undefined	undefined	undefined
107771	CryptoFarm	undefined	13;	undefined
68768	Austen Translation	6;14;	15;32;	6;14;
100037	A Ticket to Ride	undefined	undefined	undefined
109279	CARAVAN STORIES	6;34;39;48;	12;31;	6;34;39;48;
164280	云端之约	undefined	32;	undefined
134878	Who Killed My Father Academy!	undefined	undefined	undefined
77251	Counter-Strike Online	6;	5;	6;
43906	Super Robot Taisen F Kanketsuhen	7;32;	15;	7;32;
94729	Nogard	6;	31;32;	6;
164281	Musketeer of the hell	undefined	32;	undefined
76898	7Days	6;	31;	6;
88252	Adventures of Hendri	undefined	31;32;	undefined
164273	War Beasts	undefined	13;15;32;	undefined
39415	The Simpsons Bowling	52;	14;	52;
119377	The Curse of the Mushroom King	34;39;82;	2;31;	34;39;82;
117257	6120	6;	31;32;	6;
41787	Payload	27;	13;	27;
62907	Street Rash	undefined	4;	undefined
83179	Hexagons	undefined	undefined	undefined
9782	Bionic Heart	6;	31;32;34;	6;
164276	Catch The Donut	undefined	undefined	undefined
6135	Sindbad Mystery	52;84;	9;33;	52;84;
18533	Room of Doom	59;	5;33;	59;
77244	Miami Vice	6;8;11;	5;	6;8;11;
108155	Umihara Kawase Fresh!	6;48;130;	8;31;	6;48;130;
30569	Little Kingdom 2	6;	15;	6;
90307	Frol Blok	undefined	31;32;	undefined
64819	CLOP	undefined	undefined	undefined
90032	3D MMO Villagers & Heroes	undefined	undefined	undefined
98863	Adult Charades! Guess Words on Your Heads While Tilting Up or Down	undefined	undefined	undefined
14117	Hopper Copper	26;	undefined	26;
104907	Cat's Yarn	undefined	32;	undefined
90595	Boat Sim Elite	39;	13;33;	39;
63199	Endless Nuclear Kittens	undefined	5;	undefined
65876	Chronicles of Inotia: Legend of Feanor	undefined	undefined	undefined
62909	Project: Theralon	undefined	12;	undefined
33724	Lamia's Game Room	6;14;	16;32;	6;14;
88276	Good Mahjong	undefined	undefined	undefined
71064	Tikkasentappopeli	undefined	undefined	undefined
135746	Crappy Climber	6;	8;31;	6;
19903	Nights: Into Dreams HD	undefined	undefined	undefined
65846	Reincarnations: Awakening	undefined	9;	undefined
47593	King Of Gladiator	undefined	undefined	undefined
63210	Game Stock Car 2012	undefined	10;	undefined
78015	Rocco	undefined	14;	undefined
