game_id	game_name	game_engines	game_genres	game_platforms
59015	Glory	undefined	5;12;	undefined
32195	Zezenia Online	6;	12;31;32;	6;
38031	Zombie Tsunami	34;39;	8;33;	34;39;
118075	Star Girls	6;14;	12;13;15;32;	6;14;
69112	Al's Garage Band Goes On a World Tour	undefined	30;	undefined
6409	Fortress	24;	9;15;	24;
115227	Star Souls	6;	32;	6;
180166	Doug's Auto Repair	undefined	undefined	undefined
42076	Digital Champ	86;	14;	86;
157829	Conrun Virtual Gym	undefined	13;14;32;	undefined
43385	Flow: Urban Dance Uprising	8;	7;13;	8;
505	Hunted: The Demon's Forge	6;9;12;	12;25;31;	6;9;12;
10857	Transarctica	13;16;63;	13;15;31;	13;16;63;
116895	Perfect Crime	undefined	12;15;32;	undefined
46532	Jack Nicklaus' Power Challenge Golf	29;	14;	29;
159249	Sidewinder	65;	33;	65;
78575	Densha de GO! Professional	6;7;	13;	6;7;
37754	Madara Saga	19;	12;	19;
67813	Glorace: Phantastic Carnival	undefined	10;	undefined
2641	Atari Anthology	6;8;11;	5;9;10;12;14;26;30;33;35;	6;8;11;
177494	Inflate Me to the Moon	undefined	undefined	undefined
118784	Doctor Who: The Edge of Time	6;162;163;165;384;386;	31;	6;162;163;165;384;386;
177491	Mr. Krussy Requires Souls of the Damned	undefined	31;	undefined
47955	The Naked Brothers Band: The Video Game	20;	7;	20;
48439	Kujaku Ou II	99;	31;	99;
80107	Hardwood Spades	undefined	16;35;	undefined
106441	Contingent	undefined	12;15;31;32;	undefined
29558	Archery Practice VR	6;	12;31;32;	6;
76810	Deadly Contact	6;	32;	6;
44688	Super Dimension Fortress Macross	8;	5;13;	8;
109415	LOGistICAL 2: Belgium	6;	15;32;	6;
136761	Reco Love: Blue Ocean	undefined	34;	undefined
70220	Kumauta	8;	undefined	8;
40373	Pang Pom's	52;	8;9;	52;
41031	Madness	15;	8;	15;
42184	Multiplication 1	undefined	undefined	undefined
177490	You're Going to Make a Great Mother One Day	undefined	undefined	undefined
40031	Bio Attack	52;	5;	52;
102908	Catsapults	6;	31;32;	6;
119185	Passion Puzzle	34;39;	9;13;	34;39;
40618	Tax Avoiders	59;	undefined	59;
93939	Ranch Rush 2	6;	11;15;	6;
92211	inSANE	6;9;12;	undefined	6;9;12;
127646	Defend the Night	6;	12;31;	6;
130754	Video Cube: Space	6;	9;	6;
23599	SpongeBob SquarePants Bowling	undefined	8;31;	undefined
76106	One Against The Galaxy	6;	32;	6;
78089	Jansou Ou	undefined	26;	undefined
67416	Star Arthur Densetsu III: Terra 4001	undefined	31;34;	undefined
44692	Football Kingdom: Trial Edition	8;	14;	8;
