game_id	game_name	game_engines	game_genres	game_platforms
140141	Reality Show: Fatal Shot	undefined	undefined	undefined
126584	Wigged Out	undefined	14;32;	undefined
181612	Spirit Legends: The Aeon Heart	undefined	undefined	undefined
70014	Land of the Dead - Day of Reckoning	undefined	undefined	undefined
178434	Nl	undefined	undefined	undefined
181614	Can You Escape: Deluxe	undefined	undefined	undefined
24442	DimensionsVS	6;	4;32;	6;
79868	Paint by DS	20;	undefined	20;
115156	Robohazard 2077	6;	31;32;	6;
133909	Clear: Atarashii Kaze no Fuku Oka de	8;	31;	8;
130786	Willy Wonka & The Chocolate Factory	undefined	undefined	undefined
101065	Iron Danger	6;14;	12;15;24;31;32;	6;14;
140146	Resurrection: New Mexico	undefined	undefined	undefined
62996	Lost Toys	undefined	9;	undefined
21450	Tsunde Tsumi Kiss	undefined	undefined	undefined
116810	Play Tag	133;	33;	133;
140143	Reflections of Life: Utopia	undefined	undefined	undefined
32207	Ruction: The Golden Tablet	3;6;14;	31;32;	3;6;14;
148354	Shackled	undefined	31;	undefined
134478	Isometric & Karate Exercise: Wii de Kotsuban Fitness	5;	undefined	5;
30128	Cube Runner	6;14;	32;	6;14;
181613	Rage of Kings	undefined	undefined	undefined
130785	Pipeline Of Emperor Yu	undefined	undefined	undefined
45438	Angel Paradise Vol. 2: Yoshino Kimika: Isshoni I-ta-i in Hawaii	32;	9;	32;
68764	Just Fishing	6;14;	13;14;31;	6;14;
147777	Cooking Tycoons 2 - 3 in 1 Bundle	130;	9;13;15;31;	130;
3945	The Haunted Mansion	8;11;21;	31;	8;11;21;
48086	Rockin' Kats	18;	8;31;	18;
43832	Athena ~Awakening from the ordinary life~	7;	13;31;	7;
14761	Rain World	6;48;130;	8;31;32;	6;48;130;
109326	4X-Galaxy	6;	12;15;31;32;	6;
39266	Riddles of Fate: Into Oblivion - Collector's Edition	6;	31;	6;
46588	Whirlo	19;58;	8;	19;58;
136646	ARK Park: Deluxe Edition	undefined	undefined	undefined
4483	Premier Manager	9;29;	13;14;15;	9;29;
67788	Soccer Fury	undefined	4;12;14;	undefined
159967	Feudal Baron: King's Land	6;	15;	6;
140149	Riddles of Fate: Wild Hunt	undefined	undefined	undefined
140150	You Shall Not Jump	undefined	undefined	undefined
113799	Infernum	undefined	12;15;32;	undefined
5487	Apocalypse: Desire Next	12;	12;15;	12;
46610	Flintstones & Jetsons: Timewarp	117;	31;	117;
60098	Dance! Online	undefined	5;12;	undefined
14232	Air Warrior	13;16;49;	5;7;13;	13;16;49;
20700	Toon-Doku	undefined	undefined	undefined
74472	JumpSky	6;	undefined	6;
61763	DrawRace	undefined	10;	undefined
49945	Rugrats: Time Travellers	22;	8;	22;
178435	Wanrobo	undefined	13;31;	undefined
29483	Jupiteration	6;	5;	6;
42937	République: Contraband Edition	48;	undefined	48;
178426	Wiktor TD	undefined	15;	undefined
65420	Ocean Drive Challenge	undefined	10;	undefined
97875	Pro Mahjong Kiwame Tengensenhen	7;	35;	7;
51613	Solstice Chronicles: Missing in Action	6;	undefined	6;
92914	Castle Strike	6;	11;	6;
145464	Tir-nan-óg: Descendants of Danaan	149;	12;	149;
136649	War Thunder: Premium Package	undefined	undefined	undefined
29361	Jungle Dino VR	6;	13;31;32;	6;
36457	The Campaign Series: Fall Weiss	6;	15;32;	6;
49759	PukuPuku Tennen Kairanban	24;	undefined	24;
58615	Nikoli no Puzzle 4: Museum	undefined	9;	undefined
112008	Creatures Inc.	undefined	13;32;	undefined
32348	MyWorld - Action RPG Maker	6;	12;31;32;	6;
149900	Orion: The Eternal Punishment	6;14;	31;32;	6;14;
25460	Against Rome	6;	11;15;	6;
113910	Forged Fantasy	34;39;	12;	34;39;
34764	Frizzy	6;	8;31;32;	6;
86234	Dissimilation	6;	13;31;32;	6;
178433	Pmcman	undefined	31;	undefined
178431	Mag	undefined	undefined	undefined
130818	Power	undefined	undefined	undefined
47925	JAM sessions	20;	7;11;13;15;	20;
178429	My Dear Neighbor, edition 404	undefined	9;31;	undefined
62410	STCC 2 - The Game	6;	10;	6;
133912	Tetris Hagenuk MT-2000	55;	15;	55;
136635	Medarot Classics Plus: Advanced Edition	undefined	undefined	undefined
46409	The Masked Rider: Kamen Rider ZO	78;	7;	78;
36168	Bolt Riley, A Reggae Adventure - Chapter 1	3;6;14;	31;32;	3;6;14;
95259	Floor By Floor	undefined	undefined	undefined
89259	Archery Kings VR	undefined	13;14;32;	undefined
33234	One Man Is Not No Man	6;	32;	6;
178430	10 Hours Below	undefined	13;	undefined
66197	Yakyuu Dou: The Way to Gloria	undefined	14;	undefined
16986	ChemCaper	undefined	12;32;	undefined
42069	Monster Pro Wrestling	86;	4;14;15;	86;
117320	Pete Rose Baseball	60;	14;	60;
114003	Breaking Bad: Criminal Elements	undefined	11;	undefined
122323	LEGO Hidden Side	34;39;	31;33;	34;39;
72014	The Doonesbury Election Game Campaign '96	6;	undefined	6;
68583	The Cleansing	6;	12;15;32;	6;
127399	Broken of Darkness	6;	15;31;32;	6;
178432	R.E.M. scape	undefined	undefined	undefined
178428	Forgotten Tunnels: Episode 2	undefined	31;	undefined
178427	Three Games	undefined	13;	undefined
72744	Panzer Command: Operation Winter Storm	undefined	15;	undefined
130005	CrossTown 2 - Ängeln	6;	31;	6;
113571	Cannibal Lottery - Horror Visual Novel	undefined	undefined	undefined
