game_id	game_name	game_engines	game_genres	game_platforms
51443	CarX Drift Racing Online	6;48;49;130;	10;13;14;	6;48;49;130;
147754	Faircroft's Antiques: The Heir of Glen Kinnoch Collector's Edition	130;	31;33;	130;
59510	Kaettekita Pachiokun Dream Collection	7;	undefined	7;
105625	Johnny Turbo's Arcade: Express Raider	130;	4;31;33;	130;
35812	16 Bit Arena	6;	12;15;32;	6;
90769	Partymasters - Fun Idle Game	39;	33;	39;
12582	Emperor of the Mines	16;	15;	16;
153005	The King's Cards	6;	15;31;	6;
155308	Profectus	6;	13;31;32;	6;
54553	OWN - On the Way to Nemroth	82;	4;	82;
148822	Astrotour VR	undefined	13;31;32;	undefined
180089	Polymerikum	undefined	9;32;	undefined
45088	Reel Fishing	7;	undefined	7;
24951	Ultima: Escape from Mt. Drash	71;	12;	71;
56035	The Hanged Man	6;	31;32;	6;
123135	Tokoro-san no Setagaya Country Club	undefined	undefined	undefined
24103	Lethal Skies II	8;	4;13;	8;
68143	Squash	140;141;	33;	140;141;
34766	STEEL RIVALS	6;41;	4;31;32;	6;41;
96420	Goblin's Fantasy	undefined	12;32;	undefined
39704	L.E.D. Storm	15;16;25;26;52;63;	10;33;	15;16;25;26;52;63;
52545	2Dark Deluxe Edition	6;48;49;	5;31;32;	6;48;49;
67139	Animal Puzzle Adventure	159;	9;	159;
146307	Guillermo Tell	13;25;26;53;	33;	13;25;26;53;
112138	Hookbots	6;14;48;49;130;	4;32;	6;14;48;49;130;
167306	Pray Game	undefined	31;32;	undefined
167305	Demon Keeper 2+	undefined	13;15;31;32;	undefined
134096	A Plot from the Stars	3;6;82;	9;	3;6;82;
105218	Asterlode	undefined	31;32;	undefined
11862	Toaru Majutsu to Kagaku no Ensemble	38;	13;31;34;	38;
139023	Magical Marriage Lunatics!!	6;34;39;238;	34;	6;34;39;238;
169886	Beyond the Phone Screen	3;6;14;	32;	3;6;14;
42238	Pachi-Slot Gambler	19;	14;	19;
