game_id	game_name	game_engines	game_genres	game_platforms
53436	Outrunner Complete Edition	undefined	undefined	undefined
148262	Shinobi's Way - a jigsaw chess tale	6;	32;	6;
59802	Fuss-Ball	undefined	14;	undefined
78975	pop'n music 2	undefined	7;	undefined
181026	Haunted Game	6;	31;32;	6;
42168	Typo II	129;	15;	129;
14709	Etrian Odyssey 2 Untold: The Fafnir Knight	37;	12;31;	37;
33832	Duplexer	6;	32;	6;
67907	Unblocky	6;	32;	6;
131905	Gadget: Past as Future	6;14;	2;31;	6;14;
47346	Pro Beach Soccer	8;	14;	8;
57203	Ultimate Dunker	undefined	undefined	undefined
63588	Catequesis	undefined	undefined	undefined
67894	SpongeBob SquarePants Collapse	undefined	9;	undefined
32804	Assault on the Necrospire	6;	12;32;	6;
181024	Aeroplane Blaster	6;	undefined	6;
81888	Mortal Manor	6;	31;32;	6;
32070	Totem	6;	8;12;15;31;32;	6;
17256	Cruxata	82;	11;15;	82;
113459	Ataque Marino	undefined	32;	undefined
95928	Adventure Boy Cheapskate	undefined	undefined	undefined
122383	HATCH	3;6;14;	8;31;32;	3;6;14;
57234	Game Center USA: Midway Arcade Treasures	undefined	undefined	undefined
53695	Swipe Quest	39;	12;	39;
46918	One-on-One Basketball	60;	14;	60;
25120	Incoming	6;13;23;	5;11;15;33;	6;13;23;
143306	Lone & Vita	6;	5;8;25;31;32;	6;
100017	SEGA AGES 2500 Vol.14: Alien Syndrome	undefined	undefined	undefined
180870	Lil Tribals	undefined	13;	undefined
108924	Love Note 2	undefined	undefined	undefined
176505	The House In The Woods	undefined	31;	undefined
115496	Brave knight runner	undefined	32;	undefined
10046	Biology Battle	6;	15;32;	6;
49484	bit Generations: Dialhex	24;	9;	24;
181002	I am Your King	6;14;	undefined	6;14;
99099	Emerland Solitaire Journey	undefined	undefined	undefined
180864	Potion Commotion	undefined	8;	undefined
58914	Ninja Up	undefined	undefined	undefined
15542	Guardian	16;114;	5;31;32;33;	16;114;
59079	Sigma Theory: Global Cold War	3;6;14;	12;13;15;31;32;	3;6;14;
92700	Idols Galore!	6;	undefined	6;
70840	Aerosmith	undefined	30;	undefined
64788	Triazzle Island	undefined	9;	undefined
108970	Raidol: Injoku ni Ochita Seiningyou	undefined	undefined	undefined
15681	Bobby Charlton Soccer	69;	undefined	69;
73698	Dr. Blob's Organism	undefined	undefined	undefined
81991	Tunescape	6;	32;	6;
144210	Liong: the Dragon Dance	6;	9;	6;
105827	Saiyan Warriors : Heroes	undefined	undefined	undefined
138991	Karoshi 2.0	undefined	8;9;	undefined
67947	Touch Pets: Dogs	undefined	13;	undefined
93675	勇士冲冲冲	6;	32;	6;
102074	Big Bear: Salmon Hunter	undefined	undefined	undefined
34301	Krai Mira: Extended Cut	6;	12;31;32;	6;
73455	Homeland: The Stone Of Night	undefined	31;	undefined
108940	Ojou-sama, Chijoku no hate ni Warau.	undefined	undefined	undefined
92944	Bonka	undefined	undefined	undefined
112309	Star Daemon	undefined	undefined	undefined
181021	Shillelagh	6;14;	undefined	6;14;
181025	ReTox	6;	32;	6;
124787	Mah-jongg Puzzle Pai-Sen	130;	9;	130;
181010	Electronic Universe	6;	undefined	6;
55471	Defend the Cake	6;14;	15;32;	6;14;
180865	Divine Intervention	undefined	13;	undefined
180872	Gunstable Mayhem	undefined	8;	undefined
39385	Metamorphic Force	52;	25;	52;
102460	Childrens Coloring Book Age 3 -10	undefined	undefined	undefined
17375	Heroes Rise: The Prodigy	3;6;14;	12;32;	3;6;14;
146995	Glass Masquerade Double Pack	130;	9;	130;
119466	Dear My Friend	undefined	12;32;	undefined
81838	Off The Record: Liberty Stone Collector's Edition	6;	31;	6;
34030	A Study in Steampunk: Choice by Gaslight	3;6;14;	12;32;	3;6;14;
180998	Rage Chicken 2	3;6;	32;	3;6;
43518	Space Hero Line	6;	13;31;32;	6;
108942	Black Knight and White Devil	undefined	undefined	undefined
153810	Consolation: Board Meeting	6;	32;35;	6;
150144	Made in Abyss: Binary Star Falling into Darkness - Collector's Edition	48;130;	undefined	48;130;
180993	Catana	6;	15;32;	6;
181027	Stella's Spikey Dream	6;	31;32;	6;
92877	Tropix!	6;20;	9;33;	6;20;
41491	Santa's Helper	67;	31;	67;
108943	Defend Your Motti	undefined	undefined	undefined
28399	SNK vs. Capcom Card Fighters' Clash - SNK Card Fighter's Version	120;	15;	120;
180997	Medieval Arms	6;	undefined	6;
52374	Agricultural Simulator 2011: Gold Edition	undefined	undefined	undefined
92098	Fylgja	undefined	undefined	undefined
85850	Freedom Pinball	undefined	undefined	undefined
116947	International Affairs	undefined	undefined	undefined
102832	Baldi's Basics in Education and Learning	6;34;39;	32;	6;34;39;
144209	Liong: the Lost Amulets	6;	9;	6;
97548	Seraph Legend vol.3	undefined	undefined	undefined
62298	Power Factor	61;	8;	61;
94682	Bridge Master	13;14;	undefined	13;14;
144203	Mega Man: Rock N Roll	3;6;	5;8;	3;6;
61669	Smash Court 3	7;	14;	7;
69196	Onore no Shinzuru Michi wo Yuke	38;	undefined	38;
144204	Djungarian Story	130;	13;	130;
93850	Tap Busters: Galaxy Heroes	undefined	undefined	undefined
128603	Shower Sim	82;	undefined	82;
12005	Cisco Heat	13;16;25;52;	10;	13;16;25;52;
181018	Echoed Memories	3;6;	31;32;	3;6;
93873	Blaze of Battle	undefined	undefined	undefined
41948	Midnight at the Red Light	3;6;14;	31;32;	3;6;14;
98838	Bababadalgharaghtakamminarronnkonnbronntonnerronntuonnthunntrovarrhounawnskawntoohoohoordenenthurnuk	undefined	undefined	undefined
139947	Chicken Range Bundle	undefined	undefined	undefined
141365	Dread Hunger	6;	5;31;32;	6;
92911	Biathlon 2002	undefined	undefined	undefined
108946	Bud of Frenzy and Instinct	undefined	undefined	undefined
104750	Bezique	undefined	undefined	undefined
111648	Speaking Simulator 2018	undefined	undefined	undefined
95878	Royal Garden Tales	undefined	undefined	undefined
72777	Project Beauty	undefined	undefined	undefined
143430	Knights of Ages	34;	12;15;	34;
96734	Kiitsu	undefined	31;32;	undefined
181028	Shifting Dungeon	6;	15;31;	6;
113878	THE LAST SURVIVOR	undefined	12;31;32;	undefined
48705	Captain Tsubasa II: Super Striker	99;	undefined	99;
119819	Awesome taxi	undefined	10;31;32;	undefined
108853	Saga of Nine Worlds: The Stags	undefined	undefined	undefined
92985	Four Winds Mah Jong	undefined	undefined	undefined
95884	Zombie Shooter: Fury of War	undefined	undefined	undefined
23969	TAC: Tactical Armor Command	15;65;75;	15;16;	15;65;75;
78319	Ghost Battle	undefined	undefined	undefined
27687	Cloud Pirates	6;	5;15;	6;
8178	Millennium: A New Hope	6;	12;31;32;	6;
7287	Derby Time Online	9;	10;13;	9;
176514	It's Not Me, It's My Basement	undefined	12;	undefined
55398	Strangers of the Power	6;	12;32;	6;
131213	怪奇幻想夢物語 怪獣綺譚 誘宵地獄	6;	31;32;	6;
