game_id	game_name	game_engines	game_genres	game_platforms
6342	Solar 2	6;12;14;34;39;	32;33;	6;12;14;34;39;
101943	Girls Theme Park Craft: Water Slide Fun Park Games	undefined	undefined	undefined
39318	Street Fighter EX 2	52;	4;	52;
82906	Defence Agent Gaya	undefined	undefined	undefined
98952	Fronte del Basket 2007/2008	undefined	undefined	undefined
93695	Survival Planet	6;	31;32;	6;
55037	Street Fighter EX 3	8;	4;	8;
134068	Toad Strikes Back	6;	8;	6;
66712	The Impossible Test	undefined	9;	undefined
59721	0 Gravity Y3030	12;	13;	12;
81668	Agent girl	undefined	12;15;31;32;	undefined
57911	Lifeline: Whiteout	34;	31;32;	34;
139209	Pixel's Hallows Eve	6;	5;33;	6;
4615	The Goonies	51;99;125;	8;9;31;	51;99;125;
157952	Quest 4 Papa: Reloaded	6;	undefined	6;
103482	Destination Dungeons: Catacombs of Dreams	undefined	12;31;32;	undefined
127051	Super Smash Flash	6;82;	4;8;	6;82;
60852	Luigi's Mansion Arcade	52;	5;	52;
82734	The NTR Pregnancy Hunting Adventure of Karen: Whose Seed Will Wife Get Pregnant Of	undefined	undefined	undefined
23743	Journey to Wild Divine	undefined	31;	undefined
49846	Tennis no Oji-Sama 2004: Stylish Silver	24;	14;	24;
34049	House of Hell	3;6;14;	12;31;32;	3;6;14;
148667	Quick Packer 2	6;	13;	6;
21942	Commandos: Ammo Pack	undefined	11;15;24;	undefined
46295	Taisen Mahjong Haopai	35;	14;	35;
116854	Rebirth	undefined	13;15;31;32;	undefined
26442	Adventure Story of the Good Old Days	46;48;	12;13;	46;48;
97995	Pink Haze	undefined	undefined	undefined
88228	Gift of Life: Key of Solomon	undefined	31;32;	undefined
22675	Striker '96	7;13;32;	13;14;	7;13;32;
717	Football Manager 2011	6;14;38;	13;14;15;	6;14;38;
128586	Simulator Simulator	82;	13;	82;
115443	Kouenji Joshi Soccer 2: Koi wa Nebagiba Kouenji	20;	31;	20;
109138	StoneAge M	undefined	undefined	undefined
95293	TinyHands First Words 1	undefined	undefined	undefined
95423	Christian Matchups	undefined	undefined	undefined
97542	The Man Called Crimson: Episode I - Girl Of Quantum Computer	undefined	undefined	undefined
174441	Fisher Online	6;	13;32;	6;
1811	Musashi: Samurai Legend	8;	12;31;	8;
95641	Stickman: Fidget Spinner Rush	undefined	32;	undefined
31906	QUBIC	3;6;14;	32;	3;6;14;
53038	Fog Of War: Extended Edition	undefined	undefined	undefined
45342	Into Magicland	26;	8;31;	26;
142656	Hyperplasm	3;6;14;	5;32;33;	3;6;14;
54571	Streaker	25;26;27;	8;9;	25;26;27;
150708	Zango's Shark Adventure	undefined	15;31;32;	undefined
108740	Tokimeki Memorial Girl's Side 2nd Kiss Typing	undefined	undefined	undefined
121872	Railroads	undefined	31;32;	undefined
110949	Quiver Dick's Terrible Tale For Terrible Parents To Read To Their Equally Terrible Children	undefined	31;32;	undefined
63011	PlayStation Vita Pets	46;	31;	46;
164183	Saighead	undefined	15;31;32;	undefined
125673	Garfield's Fun Fest	undefined	undefined	undefined
135132	Super Mario Bros. All-Star Quest	6;	8;	6;
124234	RANCID	undefined	31;32;	undefined
143705	Gravity Cat	82;	8;9;	82;
142651	The Adventure of NAYU	6;	32;	6;
47213	Rally Speedway	15;	10;	15;
39393	Psychic 5	undefined	8;	undefined
135095	Super Mario Pearls of Wisdom	6;	8;31;	6;
164180	Hero Raging Fire	undefined	13;31;32;	undefined
59256	Realm Quest	6;	12;15;31;32;	6;
82763	Quest & Quest 3D: Short Short - Female Adventurer Arcana	undefined	undefined	undefined
145636	Fish Person Shooter	6;	5;	6;
97551	Angel or Devil	undefined	undefined	undefined
