game_id	game_name	game_engines	game_genres	game_platforms
171362	Fire Trump: Air Combat VR	undefined	13;31;32;	undefined
83354	Mad Alien	undefined	10;	undefined
94607	Beast War	undefined	undefined	undefined
53597	Shio: Deluxe Edition	undefined	undefined	undefined
66603	Gigablast	undefined	undefined	undefined
132027	Pocket Mini Golf	130;	14;33;	130;
140089	PERFECT MATTER	undefined	5;32;33;	undefined
75180	Illville: Return instructions	6;	31;32;	6;
109912	Flying Fu	undefined	undefined	undefined
119912	8Floor Strategic Collection	undefined	undefined	undefined
96742	Word Finder - Word Connect	undefined	undefined	undefined
12115	Gee Bee Air Rally	15;16;25;26;	10;13;33;	15;16;25;26;
108673	Team Up	6;	32;	6;
115312	Bounce ball light	34;	33;	34;
33119	Auto Age: Standoff	6;	5;10;32;	6;
109924	The Big Catch	undefined	undefined	undefined
96701	My Craft: Pro Exploration	undefined	undefined	undefined
103695	Rise Of Saiyan	undefined	undefined	undefined
11126	Armor Ambush	59;	5;	59;
91509	Guttang Gottung	undefined	undefined	undefined
92369	Detonator	undefined	undefined	undefined
62211	A Turtle Motorcycle Bike Race v. Mutant Ninja Warriors	undefined	10;	undefined
102719	Air Assault 2	undefined	undefined	undefined
68187	Pins 4	6;	32;	6;
91921	UBeat	undefined	undefined	undefined
100462	Casual Penalty	6;	13;14;	6;
102028	Siege Hero: Pirate Pillage	undefined	undefined	undefined
109544	My Very Hungry Caterpillar AR	undefined	undefined	undefined
84959	Xavier	41;	31;	41;
94881	TacWars	undefined	undefined	undefined
119914	Pico Pico Love Touch	undefined	undefined	undefined
34971	Orion Trail	3;6;14;	31;32;	3;6;14;
129950	Infectonator World Dominator	82;	13;	82;
29216	Dawn	6;	31;	6;
97809	Tawara	undefined	undefined	undefined
171357	Einar: Loki's Traps	undefined	31;32;	undefined
96741	Ruby Square: logical puzzle game	undefined	undefined	undefined
83276	TinySRPG3	undefined	undefined	undefined
83375	On Cue	undefined	14;	undefined
145995	Aztec: Hunt for the Sun-God	26;	31;	26;
49099	Saint Paradise ~ Saikyō no senshitachi	33;	12;	33;
176117	Kidou Senshi Gundam: Giren no Yabou - Kouryaku Shireisho	32;	15;	32;
10011	Aveyond 2: Ean's Quest	undefined	undefined	undefined
176126	Village Apothecary	6;	9;32;	6;
118447	Mind Your Manas	undefined	15;32;	undefined
56415	Maze Break	41;	9;	41;
59390	Dead End: Orchestral Manoeuvres in the Dead End	undefined	undefined	undefined
74924	Travel VR	6;	undefined	6;
108724	Make Colors	undefined	undefined	undefined
110827	Barbarian Trash	undefined	31;32;	undefined
67256	Dragon Princess: Meikyuu no Madoushi	undefined	undefined	undefined
65185	Dr. Wise: Medical Mysteries	6;	9;31;	6;
90915	Alpine Surfer	52;	undefined	52;
79825	Physicus: Save the World with Science!	6;	31;	6;
93071	Half-Life: Uplink	6;	5;	6;
23696	Curse of Atlantis: Thorgal's Quest	undefined	31;	undefined
31011	Staircase of Darkness: VR	6;	13;32;	6;
12636	Suuran Digit	46;	31;34;	46;
109991	WAR for the White House	undefined	undefined	undefined
18335	DarkMaus	6;	12;32;	6;
118663	MENA Speed	undefined	undefined	undefined
176123	Hemo Racers	3;6;14;	7;10;32;	3;6;14;
71112	The Warhammer Universe Strategy Game Collection	undefined	15;	undefined
109538	Ranger Luke: Rosemary Forest	undefined	undefined	undefined
84225	Zhengtian Fengwuzhuan	undefined	undefined	undefined
97095	Jetpack Brontosaurus	undefined	undefined	undefined
73540	Texas Hold'em: High Stakes Poker	undefined	13;	undefined
86840	▻Sudoku +	39;	9;	39;
132400	We should talk.	3;6;14;48;49;130;	13;31;32;34;	3;6;14;48;49;130;
7702	Parkan II	6;	5;13;31;	6;
178268	Kowloon's Curse	6;	12;32;	6;
100046	A-10 Tank Killer + Extra Missions	undefined	undefined	undefined
95020	Norns Fantasy	undefined	undefined	undefined
103103	BraveWorld - Helix Jumper	undefined	undefined	undefined
27873	Anamorphine	6;48;165;	31;32;	6;48;165;
67109	ShadowPlay	5;	9;	5;
50979	Shawn Johnson Gymnastics	5;159;	14;	5;159;
77484	Reel Deal Slots: Mysteries of Cleopatra	undefined	undefined	undefined
110306	Dogma: Eternal Night	undefined	undefined	undefined
97158	Nuke Destroyer	undefined	undefined	undefined
105434	Shape Puzzle - Toddler Educational Learning Games	undefined	undefined	undefined
176649	The Field	undefined	undefined	undefined
103491	Dream Bubblez	undefined	undefined	undefined
95750	Pixel Gun 3D: Pocket Edition	undefined	undefined	undefined
116972	Taxi Challenge London	6;	10;	6;
106492	ShapeSim	undefined	13;	undefined
