engine_id,engine_name,engine_platforms,engines_companies
1353,EAGL 2,undefined,undefined
309,Phoenix Engine (Wolfire),undefined,undefined
315,FAME Tech,undefined,undefined
323,pc,undefined,undefined
320,Gamebook Adventures Engine,undefined,undefined
331,Nitrous,undefined,undefined
338,Z-Engine,undefined,undefined
430,ios,undefined,undefined
625,Starling,undefined,undefined
759,proprietary engine [ by Grinding Gear Games ],undefined,undefined
1365,DIV Game Creator,undefined,undefined
1235,NESiCAxLive,undefined,undefined
144,iMUSE,3;6;7;8;13;14;16;,9;
139,Sith,6;,undefined
1213,ADE-704A,undefined,undefined
159,Playground SDK,undefined,undefined
67,MAX-FX,undefined,undefined
1132,Fuse MOS,undefined,undefined
1138,System-NNN,undefined,undefined
345,Open Dynamics Engine,undefined,undefined
1335,DATA EAST MLC SYSTEM HARDWARE,undefined,undefined
43,Dark Engine,6;,3;21;
351,Unreal Engine 3,undefined,168;
1122,Angular,undefined,undefined
39,SCI1.1,undefined,undefined
108,Amityville,undefined,undefined
111,Groovie,undefined,undefined
125,Voxel Space,undefined,undefined
128,BitSquid,undefined,undefined
1160,Quakespasm,undefined,undefined
252,ZEN,undefined,undefined
91,PathEngine,undefined,undefined
284,Windows Animation Package 32,undefined,undefined
295,GameZ,undefined,undefined
301,CSS,undefined,undefined
1269,V-Nuke,undefined,undefined
256,Siglus,6;,2648;
1219,QZandronum,undefined,undefined
311,Iron Engine,undefined,undefined
313,Beam Next Generation,undefined,undefined
1277,MS23,undefined,undefined
335,Black Hawk engine,undefined,undefined
339,The Eight-Bit Universal Role Playing Engine,undefined,undefined
1203,.ZnZin,undefined,undefined
65,Torque 2D,undefined,undefined
342,MEGA Engine,undefined,undefined
363,Film Window,undefined,undefined
367,Photex,undefined,undefined
371,Gideros,undefined,undefined
457,Spellwrath (Custom Engine),undefined,undefined
619,Flare,undefined,undefined
627,RealSpace 2,undefined,undefined
663,Lithtech Triton,undefined,undefined
666,Soft Engine Lite,undefined,undefined
1207,LibUSB & HIDAPI,undefined,undefined
699,Havoc,undefined,undefined
269,Freescape,undefined,undefined
266,Virtual World Inventor,undefined,undefined
1298,ExEn (Execution Engine),undefined,undefined
1056,Super Monkey Ball Engine,undefined,undefined
513,Firebird Engine,undefined,407;
42,SpeedTree,3;6;9;12;14;46;48;49;,4692;
481,Real Virtuality 4,6;,116;
1004,Konami Hornet,undefined,undefined
82,MonkeyX,undefined,undefined
361,Top Hat Engine,undefined,10371;
60,Prism3D,undefined,undefined
1006,Namco System 246,undefined,undefined
271,XNA Game Studio,undefined,undefined
760,Insomniac Engine,undefined,undefined
280,SmartSim,undefined,undefined
1187,Hiber Engine,undefined,undefined
1200,NESmaker,undefined,undefined
505,Spenefett,undefined,undefined
453,Rataj's Browser Game Engine,82;,12455;
1107,sdl2,undefined,undefined
1066,Windrift,undefined,undefined
1161,flowlab,undefined,undefined
77,AGOS,undefined,undefined
120,Enfusion,undefined,undefined
130,SAGE,undefined,undefined
131,W3D,undefined,undefined
314,Dagor Engine,undefined,undefined
170,Objectnaut,undefined,undefined
181,Kapow,undefined,undefined
840,RSPiX,undefined,undefined
226,X Engine,undefined,undefined
227,GEM,undefined,undefined
224,X3 Reality,undefined,undefined
233,Virtual Dream,undefined,undefined
241,Dragon Co's engine,undefined,undefined
296,Clausewitz Engine,undefined,7466;
276,Klik & Play,undefined,undefined
290,Gouache Engine,undefined,undefined
292,VRAGE,undefined,undefined
303,AJAX,undefined,undefined
1057,Capcom VS SNK 2 Engine,undefined,undefined
321,Trinity Vision Engine,undefined,undefined
326,Quantum3,undefined,undefined
328,Nocturne Engine,undefined,undefined
330,Trinigy Vision Engine,undefined,undefined
1036,Bemani PC Type 4,undefined,undefined
122,Chameleon,undefined,undefined
356,Turbulenz Engine,undefined,undefined
368,Dx Studio,undefined,undefined
379,Sahara Engine (custom built),undefined,undefined
622,Aether Engine,undefined,undefined
682,Doom engine [ using OpenGLES ],undefined,undefined
1118,Ink,undefined,undefined
436,DreamWorld,undefined,458;
70,The Sims 3 Engine,undefined,undefined
741,Spark Casual Engine,6;14;34;,5838;
1349,AliceSoft System4.X,undefined,undefined
51,3Space,undefined,undefined
83,TDRPG Engine,undefined,undefined
1038,ZGameEditor,undefined,undefined
124,Treyarch NGL,undefined,undefined
1285,FOCAL,undefined,undefined
137,SlaveDriver,undefined,undefined
198,Vital Engine,undefined,undefined
